Date,MM_20,MM_250
2012-09-25,862.9200000000001,643.105
2012-09-24,857.54,643.105
2012-09-20,843.6500000000001,643.105
2012-09-19,812.015,643.105
2012-09-18,786.345,643.105
2012-09-17,780.145,643.105
2012-09-13,773.76,643.105
2012-09-12,757.96,643.105
2012-09-11,738.105,643.105
2012-09-10,727.5799999999999,643.105
2012-09-06,724.35,643.105
2012-09-05,716.11,643.105
2012-09-04,700.0,643.105
2012-09-03,690.465,643.105
2012-08-30,688.11,643.105
2012-08-29,683.505,643.105
2012-08-28,679.14,643.105
2012-08-27,674.46,643.105
2012-08-23,655.89,643.105
2012-08-22,632.72,643.105
2012-08-21,620.9,643.105
2012-08-16,620.9,643.105
2012-08-15,620.9,643.105
2012-08-13,620.9,643.105
2012-08-09,616.755,643.105
2012-08-08,616.03,643.105
2012-08-07,613.55,643.105
2012-08-06,611.625,643.105
2012-08-02,611.0699999999999,643.105
2012-07-31,609.49,644.735
2012-07-30,606.52,645.5799999999999
2012-07-26,603.8399999999999,645.98
2012-07-25,596.7950000000001,646.12
2012-07-24,585.845,646.245
2012-07-19,581.54,648.415
2012-07-18,578.9449999999999,651.56
2012-07-17,559.7,652.735
2012-07-12,538.8399999999999,653.6
2012-07-11,537.565,654.84
2012-07-10,537.565,655.655
2012-07-09,537.565,656.155
2012-07-05,537.565,656.155
2012-07-04,537.565,656.48
2012-07-02,537.565,656.48
2012-06-28,537.565,657.005
2012-06-27,537.565,657.78
2012-06-26,537.565,658.395
2012-06-25,537.565,659.15
2012-06-21,553.595,661.785
2012-06-20,576.235,666.2049999999999
2012-06-19,584.765,671.25
2012-06-18,585.845,674.2
2012-06-14,592.21,674.73
2012-06-13,609.1949999999999,675.3299999999999
2012-06-12,621.375,675.725
2012-06-11,624.3,675.88
2012-06-07,629.1600000000001,677.5550000000001
2012-06-06,629.1600000000001,679.69
2012-06-05,635.49,680.3299999999999
2012-06-04,638.98,682.04
2012-05-31,638.98,684.28
2012-05-30,641.73,685.185
2012-05-29,641.73,686.875
2012-05-28,641.73,689.56
2012-05-24,638.98,693.105
2012-05-23,636.905,697.94
2012-05-22,636.905,701.245
2012-05-21,636.905,702.63
2012-05-17,636.905,706.54
2012-05-16,633.415,714.505
2012-05-15,628.8,720.3199999999999
2012-05-14,628.8,725.0699999999999
2012-05-10,628.8,729.185
2012-05-09,628.8,729.81
2012-05-08,628.8,729.995
2012-05-07,628.8,731.46
2012-05-03,630.475,735.335
2012-05-02,636.905,737.965
2012-04-30,636.905,739.905
2012-04-26,640.1700000000001,742.4200000000001
2012-04-24,648.9200000000001,745.05
2012-04-23,649.065,747.1700000000001
2012-04-19,654.74,747.45
2012-04-18,666.1,749.24
2012-04-17,677.4000000000001,754.72
2012-04-12,682.3050000000001,759.355
2012-04-11,694.315,760.245
2012-04-10,706.54,761.66
2012-04-09,714.505,763.05
2012-04-05,720.3199999999999,763.655
2012-04-04,725.79,764.45
2012-04-03,731.46,764.9300000000001
2012-04-02,737.2750000000001,765.77
2012-03-29,737.2750000000001,767.1600000000001
2012-03-28,737.2750000000001,771.22
2012-03-27,737.2750000000001,777.645
2012-03-26,737.2750000000001,780.875
2012-03-22,737.2750000000001,781.2149999999999
2012-03-21,735.81,781.79
2012-03-20,735.81,782.0799999999999
2012-03-19,735.81,783.595
2012-03-15,729.81,785.29
2012-03-14,729.81,785.645
2012-03-13,729.81,786.255
2012-03-12,715.88,788.7650000000001
2012-03-08,701.245,788.7650000000001
2012-03-07,697.94,788.7650000000001
2012-03-06,693.105,788.7650000000001
2012-03-05,689.56,788.7650000000001
2012-03-01,684.4100000000001,788.7650000000001
2012-02-29,633.575,788.7650000000001
