Date,MMAX_10,MMAX_20
2012-05-10,668.5,741.72
2012-05-09,668.5,741.72
2012-05-08,658.15,764.25
2012-05-07,652.59,812.81
2012-05-03,652.59,832.19
2012-05-02,652.59,832.19
2012-04-30,652.59,832.19
2012-04-26,652.59,832.19
2012-04-24,652.59,832.19
2012-04-23,645.25,832.19
2012-04-19,652.88,832.19
2012-04-18,679.2,832.19
2012-04-17,685.41,832.19
2012-04-12,685.41,832.19
2012-04-11,685.41,832.19
2012-04-10,730.09,832.19
2012-04-09,732.83,832.19
2012-04-05,732.83,832.19
2012-04-04,732.83,832.19
2012-04-03,741.72,832.19
2012-04-02,741.72,832.19
2012-03-29,741.72,832.19
2012-03-28,764.25,832.19
2012-03-27,812.81,832.19
2012-03-26,832.19,832.19
2012-03-22,832.19,832.19
2012-03-21,832.19,832.19
2012-03-20,832.19,832.19
2012-03-19,832.19,832.19
2012-03-15,832.19,832.19
2012-03-14,832.19,832.19
2012-03-13,832.19,832.19
2012-03-12,832.19,832.19
2012-03-08,832.19,832.19
2012-03-07,827.06,827.06
2012-03-06,805.98,805.98
2012-03-05,805.98,805.98
2012-03-01,795.58,795.58
2012-02-29,760.28,760.28
2012-02-28,758.5,758.5
2012-02-27,729.9,729.9
2012-02-23,729.72,729.72
2012-02-22,729.72,729.72
2012-02-21,729.72,729.72
2012-02-20,702.04,702.04
2012-02-16,702.04,702.04
2012-02-15,702.04,702.04
2012-02-14,700.45,700.45
2012-02-13,586.67,586.67
2012-02-09,577.94,577.94
2012-02-08,572.74,572.74
2012-02-07,572.74,572.74
2012-02-06,572.74,572.74
2012-02-02,572.74,572.74
2012-02-01,567.41,567.41
2012-01-31,534.53,534.53
2012-01-30,510.57,510.57
2012-01-26,425.41,448.77
2012-01-24,389.3,448.77
2012-01-19,389.3,448.77
2012-01-18,378.98,448.77
2012-01-17,365.77,448.77
2012-01-16,350.41,449.92
2012-01-12,347.04,464.5
2012-01-11,341.86,464.5
2012-01-10,345.64,464.5
2012-01-09,376.99,531.89
2012-01-05,413.57,538.13
2012-01-04,413.57,538.13
2012-01-03,413.57,555.56
2012-01-02,413.57,555.56
2011-12-29,420.69,555.56
2011-12-28,427.27,555.56
2011-12-27,437.95,555.56
2011-12-21,437.95,555.56
2011-12-20,448.77,555.56
2011-12-19,448.77,555.56
2011-12-15,448.77,555.56
2011-12-14,448.77,555.56
2011-12-13,448.77,555.56
2011-12-12,448.77,555.56
2011-12-08,448.77,555.56
2011-12-07,449.92,555.56
2011-12-06,464.5,555.56
2011-12-05,464.5,555.56
2011-12-01,464.5,555.56
2011-11-30,531.89,555.56
2011-11-29,538.13,555.56
2011-11-24,538.13,580.9
2011-11-23,555.56,589.31
2011-11-22,555.56,589.31
2011-11-21,555.56,589.31
2011-11-17,555.56,609.28
2011-11-16,555.56,626.04
2011-11-15,555.56,645.91
2011-11-14,555.56,683.6
2011-11-10,555.56,683.6
2011-11-02,555.56,683.6
2011-11-01,555.56,683.6
2011-10-31,532.08,683.6
2011-10-27,531.75,683.6
2011-10-26,531.75,683.6
2011-10-25,527.53,683.6
2011-10-24,520.96,684.96
2011-10-20,519.42,684.96
2011-10-19,516.74,684.96
2011-10-18,533.76,760.97
2011-10-17,549.82,760.97
2011-10-13,580.9,760.97
2011-10-12,589.31,760.97
2011-10-11,589.31,760.97
2011-10-10,589.31,782.06
2011-10-05,609.28,782.06
2011-10-04,626.04,782.06
2011-10-03,645.91,782.06
2011-09-28,683.6,785.09
2011-09-26,683.6,794.45
2011-09-22,683.6,797.53
2011-09-21,683.6,798.67
2011-09-20,683.6,806.82
2011-09-19,683.6,806.82
2011-09-15,683.6,806.82
2011-09-14,683.6,806.82
2011-09-13,684.96,806.82
2011-09-12,684.96,836.75
2011-09-08,684.96,836.75
2011-09-07,760.97,865.08
2011-09-06,760.97,865.08
2011-09-05,760.97,865.08
2011-08-25,760.97,865.08
2011-08-24,760.97,872.1
2011-08-23,782.06,872.1
2011-08-22,782.06,896.64
2011-08-18,782.06,896.64
2011-08-17,782.06,909.15
2011-08-16,785.09,926.43
2011-08-11,794.45,926.43
2011-08-10,797.53,938.79
2011-08-08,798.67,938.79
2011-08-03,806.82,938.79
2011-08-02,806.82,938.79
2011-08-01,806.82,938.79
2011-07-28,806.82,938.79
2011-07-27,806.82,938.79
2011-07-26,836.75,938.79
2011-07-25,836.75,938.79
2011-07-21,865.08,938.79
2011-07-20,865.08,938.79
2011-07-19,865.08,938.79
2011-07-18,865.08,938.79
2011-07-14,872.1,938.79
2011-07-13,872.1,938.79
2011-07-12,896.64,938.79
2011-07-11,896.64,938.79
2011-07-07,909.15,938.79
2011-07-06,926.43,938.79
2011-07-05,926.43,938.79
2011-07-04,938.79,938.79
2011-06-30,938.79,938.79
2011-06-29,938.79,938.79
2011-06-28,938.79,938.79
2011-06-27,938.79,938.79
2011-06-23,938.79,938.79
2011-06-22,938.79,938.79
2011-06-21,938.79,938.79
2011-06-20,938.79,938.79
2011-06-15,938.79,938.79
2011-06-14,925.98,925.98
2011-06-13,914.43,914.43
2011-06-09,905.16,905.16
2011-06-08,905.16,905.16
2011-06-07,905.16,905.16
2011-06-06,905.16,905.16
2011-06-02,905.16,905.16
2011-06-01,901.1,901.1
2011-05-31,866.77,866.77
2011-05-26,864.24,866.53
2011-05-25,864.24,866.53
2011-05-24,864.24,866.53
2011-05-23,847.78,1410.17
2011-05-19,834.77,1410.17
2011-05-18,834.73,1413.09
2011-05-17,816.5,1482.2
2011-05-16,791.89,1567.23
2011-05-12,791.89,1567.23
2011-05-11,791.89,1567.23
2011-05-10,791.89,1567.23
2011-05-09,791.89,1567.23
2011-05-05,791.89,1567.23
2011-05-04,823.41,1567.23
2011-05-03,823.41,1567.23
2011-05-02,823.41,1567.23
2011-04-28,823.41,1567.23
2011-04-27,847.52,1567.23
2011-04-26,866.53,1567.23
2011-04-21,866.53,1567.23
2011-04-20,866.53,1567.23
2011-04-19,866.53,1567.23
2011-04-18,866.53,1567.23
2011-04-14,1410.17,1567.23
2011-04-13,1410.17,1567.23
2011-04-12,1413.09,1567.23
2011-04-11,1482.2,1567.23
2011-04-07,1567.23,1567.23
2011-04-06,1567.23,1567.23
2011-04-05,1567.23,1567.23
2011-04-04,1567.23,1567.23
2011-03-31,1567.23,1567.23
2011-03-30,1567.23,1567.23
2011-03-24,1567.23,1567.23
2011-01-20,1567.23,1567.23
2011-01-18,1567.23,1567.23
2011-01-17,1567.23,1567.23
2011-01-13,1557.91,1557.91
2011-01-12,1557.91,1557.91
2011-01-11,1557.91,1557.91
2011-01-10,1550.25,1550.25
2011-01-06,1543.6,1543.6
2011-01-05,1540.1,1540.1
2011-01-04,1506.85,1506.85
2011-01-03,1503.51,1503.51
2010-12-30,1482.51,1484.93
2010-12-29,1477.72,1484.93
2010-12-28,1477.72,1484.93
2010-12-27,1477.72,1484.93
2010-12-23,1477.72,1484.93
2010-12-22,1477.72,1484.93
2010-12-21,1477.72,1484.93
2010-12-20,1477.72,1484.93
2010-12-16,1477.72,1484.93
2010-12-15,1477.72,1484.93
2010-12-14,1470.53,1484.93
2010-12-13,1484.93,1484.93
2010-12-09,1484.93,1484.93
2010-12-08,1484.93,1484.93
2010-12-02,1484.93,1484.93
2010-12-01,1484.93,1484.93
2010-11-30,1484.93,1484.93
2010-11-29,1484.93,1484.93
2010-11-25,1484.93,1484.93
2010-11-24,1484.93,1484.93
2010-11-23,1484.93,1484.93
2010-11-22,1473.03,1484.66
2010-11-11,1473.03,1484.66
2010-11-10,1473.03,1484.66
2010-11-04,1478.07,1484.66
2010-11-03,1478.07,1484.66
2010-11-02,1478.07,1484.66
2010-11-01,1480.84,1484.66
2010-10-28,1480.84,1484.66
2010-10-27,1480.84,1484.66
2010-10-26,1480.84,1484.66
2010-10-25,1484.66,1484.66
2010-10-21,1484.66,1484.66
2010-10-20,1484.66,1484.66
2010-10-19,1484.66,1484.66
2010-10-18,1484.66,1484.66
2010-10-14,1484.66,1484.66
2010-10-13,1484.66,1484.66
2010-10-12,1484.66,1484.66
2010-10-11,1484.66,1484.66
2010-10-05,1484.66,1484.66
2010-10-04,1460.75,1460.75
2010-09-30,1460.75,1460.75
2010-09-29,1458.23,1458.23
2010-09-28,1458.23,1458.23
2010-09-27,1458.23,1458.23
2010-09-23,1447.35,1447.35
2010-09-22,1441.9,1441.9
2010-09-21,1428.37,1428.37
2010-09-20,1422.78,1422.78
2010-09-16,1422.78,1422.78
2010-09-15,1422.78,1422.78
2010-09-14,1422.78,1422.78
2010-09-13,1400.47,1408.99
2010-09-08,1400.47,1408.99
2010-09-07,1400.47,1408.99
2010-09-06,1400.47,1408.99
2010-09-02,1400.47,1408.99
2010-09-01,1400.47,1408.99
2010-08-31,1400.47,1408.99
2010-08-30,1408.99,1408.99
2010-08-26,1408.99,1408.99
2010-08-24,1408.99,1408.99
2010-08-23,1408.99,1408.99
2010-08-19,1408.99,1408.99
2010-08-18,1408.99,1408.99
2010-08-17,1408.99,1408.99
2010-08-16,1408.99,1431.72
2010-08-12,1408.99,1431.72
2010-08-11,1408.99,1431.72
2010-08-10,1404.56,1431.72
2010-08-09,1387.69,1431.72
2010-08-05,1380.44,1431.72
2010-08-04,1380.44,1431.72
2010-08-03,1380.44,1431.72
2010-08-02,1376.12,1431.72
2010-07-29,1346.89,1431.72
2010-07-27,1332.93,1431.72
2010-07-26,1325.73,1431.72
2010-07-22,1325.73,1431.91
2010-07-21,1325.73,1431.91
2010-07-20,1328.95,1431.91
2010-07-19,1342.81,1431.91
2010-07-15,1376.12,1431.91
2010-07-14,1386.78,1434.14
2010-07-13,1390.83,1448.67
