Date,MMIN_10,MMIN_20
2012-05-10,588.06,546.76
2012-05-09,578.91,546.76
2012-05-08,578.91,546.76
2012-05-07,578.91,546.76
2012-05-03,547.74,546.76
2012-05-02,546.76,546.76
2012-04-30,546.76,546.76
2012-04-26,546.76,546.76
2012-04-24,546.76,546.76
2012-04-23,546.76,546.76
2012-04-19,546.76,546.76
2012-04-18,546.76,546.76
2012-04-17,546.76,546.76
2012-04-12,546.76,546.76
2012-04-11,546.76,546.76
2012-04-10,562.13,562.13
2012-04-09,625.25,625.25
2012-04-05,625.86,625.86
2012-04-04,645.25,645.25
2012-04-03,652.88,586.67
2012-04-02,656.6,577.94
2012-03-29,656.6,544.89
2012-03-28,656.6,525.61
2012-03-27,656.6,525.61
2012-03-26,703.22,525.61
2012-03-22,703.22,525.61
2012-03-21,703.22,525.61
2012-03-20,703.22,510.57
2012-03-19,709.86,425.41
2012-03-15,709.86,375.6
2012-03-14,709.86,375.6
2012-03-13,729.9,375.6
2012-03-12,690.78,365.77
2012-03-08,690.78,350.41
2012-03-07,690.78,347.04
2012-03-06,680.48,338.18
2012-03-05,680.48,312.38
2012-03-01,680.48,312.38
2012-02-29,680.48,312.38
2012-02-28,586.67,312.38
2012-02-27,577.94,312.38
2012-02-23,544.89,312.38
2012-02-22,525.61,298.12
2012-02-21,525.61,298.12
2012-02-20,525.61,298.12
2012-02-16,525.61,298.12
2012-02-15,525.61,298.12
2012-02-14,510.57,298.12
2012-02-13,425.41,298.12
2012-02-09,375.6,298.12
2012-02-08,375.6,298.12
2012-02-07,375.6,298.12
2012-02-06,365.77,298.12
2012-02-02,350.41,298.12
2012-02-01,347.04,298.12
2012-01-31,338.18,298.12
2012-01-30,312.38,298.12
2012-01-26,312.38,298.12
2012-01-24,312.38,298.12
2012-01-19,312.38,298.12
2012-01-18,312.38,298.12
2012-01-17,312.38,298.12
2012-01-16,298.12,298.12
2012-01-12,298.12,298.12
2012-01-11,298.12,298.12
2012-01-10,298.12,298.12
2012-01-09,298.12,298.12
2012-01-05,298.12,298.12
2012-01-04,298.12,298.12
