Date,Position,Equity,Debt
2012-04-12,0,64.2504528321,0.0
2012-04-11,0,64.2504528321,0.0
2012-04-10,0,64.2504528321,0.0
2012-04-05,0,64.2504528321,0.0
2012-04-04,0,64.2504528321,0.0
2012-04-03,0,64.2504528321,0.0
2012-04-02,0,64.2504528321,0.0
2012-03-30,0,64.2504528321,0.0
2012-03-29,0,64.2504528321,0.0
2012-03-28,0,64.2504528321,0.0
2012-03-27,0,64.2504528321,0.0
2012-03-26,0,64.2504528321,0.0
2012-03-23,0,64.2504528321,0.0
2012-03-22,0,64.2504528321,0.0
2012-03-21,0,64.2504528321,0.0
2012-03-20,0,64.2504528321,0.0
2012-03-19,0,64.2504528321,0.0
2012-03-16,0,64.2504528321,0.0
2012-03-15,0,64.2504528321,0.0
2012-03-14,0,64.2504528321,0.0
2012-03-13,0,64.2504528321,0.0
2012-03-12,0,64.2504528321,0.0
2012-03-09,0,64.2504528321,0.0
2012-03-08,0,64.2504528321,0.0
2012-03-07,0,64.2504528321,0.0
2012-03-06,0,64.2504528321,0.0
2012-03-05,1,65.4650803528,0.0
2012-03-02,1,65.8695847472,0.0
2012-03-01,1,66.0946808566,0.0
2012-02-29,1,65.428307226,0.0
2012-02-28,1,66.0567933926,0.0
2012-02-27,1,65.9186155829,0.0
2012-02-24,1,66.1370256692,0.0
2012-02-23,1,66.1682271101,0.0
2012-02-22,1,65.9297589547,0.0
2012-02-21,1,66.0601364042,0.0
2012-02-20,1,66.2506880611,0.0
2012-02-17,1,65.8027245168,0.0
2012-02-16,1,65.5832000933,0.0
2012-02-15,1,65.6589750212,0.0
2012-02-14,1,65.7447789837,0.0
2012-02-13,1,65.8094105398,0.0
2012-02-10,1,65.2154688256,0.0
2012-02-09,1,65.695748148,0.0
2012-02-08,1,65.4773380617,0.0
2012-02-07,1,65.6378026149,0.0
2012-02-06,1,65.6589750212,0.0
2012-02-03,1,65.7581510298,0.0
2012-02-02,1,64.5880969961,0.0
2012-02-01,1,64.5279227886,0.0
2012-01-31,1,63.3121809308,0.0
2012-01-30,1,63.1951755274,0.0
2012-01-27,1,63.8905219246,0.0
2012-01-26,1,64.5780679615,0.0
2012-01-25,1,63.7735165212,0.0
2012-01-24,1,64.0955599648,0.0
2012-01-23,1,64.4376614775,0.0
2012-01-20,1,63.8348050658,0.0
2012-01-19,1,63.9752115499,0.0
2012-01-18,0,63.9752115499,0.0
2012-01-17,0,63.9752115499,0.0
2012-01-16,0,63.9752115499,0.0
2012-01-13,0,63.9752115499,0.0
