Date,EWATR_20
2012-04-12,78.3803708903
2012-04-11,78.2625151946
2012-04-10,73.0059378466
2012-04-05,73.4907734094
2012-04-04,65.1529600841
2012-04-03,66.548008514
2012-04-02,60.2583251997
2012-03-30,62.3170962734
2012-03-29,59.8557379863
2012-03-28,58.903710406
2012-03-27,56.8830483434
2012-03-26,56.7023165901
2012-03-23,54.8815078101
2012-03-22,53.7006138954
2012-03-21,55.048046937
2012-03-20,51.9267887198
2012-03-19,53.1401349009
2012-03-16,55.2285701536
2012-03-15,56.9368406961
2012-03-14,58.3301923483
2012-03-13,57.6175810165
2012-03-12,60.1352211235
2012-03-09,60.7073496629
2012-03-08,58.3712812063
2012-03-07,59.736679228
2012-03-06,53.7721191468
2012-03-05,54.6218158991
2012-03-02,57.0556912569
2012-03-01,54.935237705
2012-02-29,53.0021048318
2012-02-28,54.6865369194
2012-02-27,53.1588039635
2012-02-24,54.7018359597
2012-02-23,54.9862397449
2012-02-22,56.2058439286
2012-02-21,58.7327748684
2012-02-20,59.5256985388
2012-02-17,61.7705089113
2012-02-16,61.6410887967
2012-02-15,63.5822560385
2012-02-14,65.7067040425
2012-02-13,65.4968834154
2012-02-10,66.538660617
2012-02-09,68.7216775241
2012-02-08,71.2292225266
2012-02-07,72.8217722663
2012-02-06,76.5293272417
2012-02-03,72.2797827408
2012-02-02,75.2460756609
2012-02-01,71.5877678357
2012-01-31,72.8917433973
2012-01-30,71.9435058602
2012-01-27,72.5480854245
2012-01-26,71.405778627
2012-01-25,70.1116500615
2012-01-24,70.8918237521
2012-01-23,71.3225420418
2012-01-20,75.8617569936
2012-01-19,78.5103629929
2012-01-18,80.2482959395
2012-01-17,81.6428534069
2012-01-16,84.6578906076
2012-01-13,80.3376685663
2012-01-12,82.5521599943
2012-01-11,85.3471242042
2012-01-10,83.8468214889
2012-01-09,85.3885921719
2012-01-06,88.1242334532
2012-01-05,89.5162580272
2012-01-04,91.2127062406
2012-01-03,87.3824647923
2011-12-30,90.9806189809
2011-12-29,93.1996315052
2011-12-28,94.91538219
2011-12-23,98.6327908416
2011-12-22,100.667821456
2011-12-21,99.9381184519
2011-12-20,100.184236184
2011-12-19,103.677313677
2011-12-16,107.717030906
2011-12-15,111.981981527
2011-12-14,110.790611162
2011-12-13,110.631728126
2011-12-12,111.614015298
2011-12-09,112.878648487
2011-12-08,111.971137801
2011-12-07,109.662836517
2011-12-06,113.722082466
2011-12-05,119.703354305
2011-12-02,121.103707389
2011-12-01,126.798834483
2011-11-30,112.356606534
2011-11-29,116.625723011
2011-11-28,111.723167539
2011-11-25,110.315079911
2011-11-24,112.948246218
2011-11-23,117.784903714
2011-11-22,122.267525158
2011-11-21,120.274633069
