Date,EWCOV_250
2012-04-20,-146997.548199
2012-04-19,-146953.492362
2012-04-18,-146910.897119
2012-04-17,-146890.842076
2012-04-16,-146770.125145
2012-04-13,-146634.830166
2012-04-12,-146558.627999
2012-04-11,-146406.412963
2012-04-10,-146214.468489
2012-04-05,-146151.220043
2012-04-04,-146068.41177
2012-04-03,-146121.526724
2012-04-02,-146212.970312
2012-03-30,-146198.901801
2012-03-29,-146159.01547
2012-03-28,-146187.354951
2012-03-27,-146277.916035
2012-03-26,-146403.679216
2012-03-23,-146483.27664
2012-03-22,-146555.146733
2012-03-21,-146675.37482
2012-03-20,-146796.971806
2012-03-19,-146990.813347
2012-03-16,-147191.756024
2012-03-15,-147370.220731
2012-03-14,-147555.864673
2012-03-13,-147754.5921
2012-03-12,-147892.316936
2012-03-09,-148026.813458
2012-03-08,-148135.375011
2012-03-07,-148176.967983
2012-03-06,-148194.097445
2012-03-05,-148322.248027
2012-03-02,-148489.027529
2012-03-01,-148678.516907
2012-02-29,-148810.255999
2012-02-28,-149000.91428
2012-02-27,-149181.612386
2012-02-24,-149384.527345
2012-02-23,-149592.902665
2012-02-22,-149782.387827
2012-02-21,-149986.196966
2012-02-20,-150209.888508
2012-02-17,-150395.86191
2012-02-16,-150564.478873
2012-02-15,-150742.31284
2012-02-14,-150930.345072
2012-02-13,-151126.742221
2012-02-10,-151271.996777
2012-02-09,-151462.872253
2012-02-08,-151636.531468
2012-02-07,-151827.109231
2012-02-06,-152022.141032
2012-02-03,-152228.718871
2012-02-02,-152332.120629
2012-02-01,-152431.917582
2012-01-31,-152423.547844
2012-01-30,-152405.534574
2012-01-27,-152451.285855
2012-01-26,-152560.608232
2012-01-25,-152599.036812
2012-01-24,-152667.914216
2012-01-23,-152769.299471
2012-01-20,-152817.972559
2012-01-19,-152880.745832
2012-01-18,-152906.020498
2012-01-17,-152924.038735
2012-01-16,-152906.315752
2012-01-13,-152868.491381
2012-01-12,-152857.37846
2012-01-11,-152855.651781
2012-01-10,-152881.027298
2012-01-09,-152822.536754
2012-01-06,-152802.28484
2012-01-05,-152757.274277
2012-01-04,-152757.465235
2012-01-03,-152790.317968
2011-12-30,-152695.81771
2011-12-29,-152596.02227
2011-12-28,-152436.556184
2011-12-23,-152282.159848
2011-12-22,-152071.384024
2011-12-21,-151792.082691
2011-12-20,-151541.686166
2011-12-19,-151235.247902
2011-12-16,-150949.835436
2011-12-15,-150676.847768
2011-12-14,-150368.301566
2011-12-13,-150182.575474
2011-12-12,-149933.66604
2011-12-09,-149785.87902
2011-12-08,-149592.14833
2011-12-07,-149461.476429
2011-12-06,-149352.738087
2011-12-05,-149243.428754
2011-12-02,-149118.423362
2011-12-01,-148929.91592
2011-11-30,-148757.13171
2011-11-29,-148414.215097
2011-11-28,-148045.157789
2011-11-25,-147524.753835
2011-11-24,-146963.880774
2011-11-23,-146411.808732
2011-11-22,-145923.848561
2011-11-21,-145448.903971
2011-11-18,-145112.579505
2011-11-17,-144835.245204
2011-11-16,-144643.28131
2011-11-15,-144459.251039
2011-11-14,-144276.363498
2011-11-11,-144119.62706
2011-11-10,-143861.231695
2011-11-09,-143617.494198
2011-11-08,-143480.565638
2011-11-07,-143286.591466
2011-11-04,-143108.599028
2011-11-03,-142948.732755
2011-11-02,-142726.596472
2011-11-01,-142440.681986
2011-10-31,-142277.063769
2011-10-28,-142272.408458
2011-10-27,-142280.41696
2011-10-26,-142127.607859
2011-10-25,-141946.656918
2011-10-24,-141788.042114
2011-10-21,-141569.183416
2011-10-20,-141244.840311
2011-10-19,-140985.228587
2011-10-18,-140684.117571
2011-10-17,-140408.107271
2011-10-14,-140160.826606
2011-10-13,-139849.06176
2011-10-12,-139574.509244
2011-10-11,-139252.289238
2011-10-10,-138931.815657
2011-10-07,-138513.408152
2011-10-06,-138080.450788
2011-10-05,-137454.405011
2011-10-04,-136665.271317
2011-10-03,-136002.960243
2011-09-30,-135389.763136
2011-09-29,-134841.497378
2011-09-28,-134310.80298
2011-09-27,-133853.867662
2011-09-26,-133188.02684
2011-09-23,-132495.064405
2011-09-22,-131772.14163
2011-09-21,-131293.202607
2011-09-20,-130887.329535
2011-09-19,-130374.268327
2011-09-16,-129967.768072
2011-09-15,-129527.862595
2011-09-14,-128974.044222
2011-09-13,-128363.662248
2011-09-12,-127704.326603
2011-09-09,-127126.385853
2011-09-08,-126671.621483
2011-09-07,-126192.237318
2011-09-06,-125546.911111
2011-09-05,-124842.774253
2011-09-02,-124324.910994
2011-09-01,-123931.51309
2011-08-31,-123511.669822
2011-08-30,-122962.651909
2011-08-26,-122270.317386
2011-08-25,-121574.639614
2011-08-24,-120949.782904
2011-08-23,-120243.800839
2011-08-22,-119498.782372
2011-08-19,-118693.850102
2011-08-18,-117935.273396
2011-08-17,-117412.934628
2011-08-16,-116913.617235
2011-08-15,-116404.241069
2011-08-12,-115860.935776
2011-08-11,-115155.811967
2011-08-10,-114289.182746
2011-08-09,-113575.567346
2011-08-08,-112760.557847
2011-08-05,-112119.439838
2011-08-04,-111621.453812
2011-08-03,-111313.413281
2011-08-02,-111138.882062
2011-08-01,-111020.406817
2011-07-29,-110943.115708
2011-07-28,-110924.677681
2011-07-27,-110890.366257
2011-07-26,-110930.47442
2011-07-25,-110967.477427
2011-07-22,-111015.563591
2011-07-21,-111029.662094
2011-07-20,-110998.411589
2011-07-19,-110903.605658
