Date,EWMA_250
2012-04-20,6960.5
2012-04-19,6959.5
2012-04-18,6958.5
2012-04-17,6957.5
2012-04-16,6956.5
2012-04-13,6955.5
2012-04-12,6954.5
2012-04-11,6953.5
2012-04-10,6952.5
2012-04-05,6951.5
2012-04-04,6950.5
2012-04-03,6949.5
2012-04-02,6948.5
2012-03-30,6947.5
2012-03-29,6946.5
2012-03-28,6945.5
2012-03-27,6944.5
2012-03-26,6943.5
2012-03-23,6942.5
2012-03-22,6941.5
2012-03-21,6940.5
2012-03-20,6939.5
2012-03-19,6938.5
2012-03-16,6937.5
2012-03-15,6936.5
2012-03-14,6935.5
2012-03-13,6934.5
2012-03-12,6933.5
2012-03-09,6932.5
2012-03-08,6931.5
2012-03-07,6930.5
2012-03-06,6929.5
2012-03-05,6928.5
2012-03-02,6927.5
2012-03-01,6926.5
2012-02-29,6925.5
2012-02-28,6924.5
2012-02-27,6923.5
2012-02-24,6922.5
2012-02-23,6921.5
2012-02-22,6920.5
2012-02-21,6919.5
2012-02-20,6918.5
2012-02-17,6917.5
2012-02-16,6916.5
2012-02-15,6915.5
2012-02-14,6914.5
2012-02-13,6913.5
2012-02-10,6912.5
2012-02-09,6911.5
2012-02-08,6910.5
2012-02-07,6909.5
2012-02-06,6908.5
2012-02-03,6907.5
2012-02-02,6906.5
2012-02-01,6905.5
2012-01-31,6904.5
2012-01-30,6903.5
2012-01-27,6902.5
2012-01-26,6901.5
2012-01-25,6900.5
2012-01-24,6899.5
2012-01-23,6898.5
2012-01-20,6897.5
2012-01-19,6896.5
2012-01-18,6895.5
2012-01-17,6894.5
2012-01-16,6893.5
2012-01-13,6892.5
2012-01-12,6891.5
2012-01-11,6890.5
2012-01-10,6889.5
2012-01-09,6888.5
2012-01-06,6887.5
2012-01-05,6886.5
2012-01-04,6885.5
2012-01-03,6884.5
2011-12-30,6883.5
2011-12-29,6882.5
2011-12-28,6881.5
2011-12-23,6880.5
2011-12-22,6879.5
2011-12-21,6878.5
2011-12-20,6877.5
2011-12-19,6876.5
2011-12-16,6875.5
2011-12-15,6874.5
2011-12-14,6873.5
2011-12-13,6872.5
2011-12-12,6871.5
2011-12-09,6870.5
2011-12-08,6869.5
2011-12-07,6868.5
2011-12-06,6867.5
2011-12-05,6866.5
2011-12-02,6865.5
2011-12-01,6864.5
2011-11-30,6863.5
2011-11-29,6862.5
2011-11-28,6861.5
2011-11-25,6860.5
2011-11-24,6859.5
2011-11-23,6858.5
2011-11-22,6857.5
2011-11-21,6856.5
2011-11-18,6855.5
2011-11-17,6854.5
2011-11-16,6853.5
2011-11-15,6852.5
2011-11-14,6851.5
2011-11-11,6850.5
2011-11-10,6849.5
2011-11-09,6848.5
2011-11-08,6847.5
2011-11-07,6846.5
2011-11-04,6845.5
2011-11-03,6844.5
2011-11-02,6843.5
2011-11-01,6842.5
2011-10-31,6841.5
2011-10-28,6840.5
2011-10-27,6839.5
2011-10-26,6838.5
2011-10-25,6837.5
2011-10-24,6836.5
2011-10-21,6835.5
2011-10-20,6834.5
2011-10-19,6833.5
2011-10-18,6832.5
2011-10-17,6831.5
2011-10-14,6830.5
2011-10-13,6829.5
2011-10-12,6828.5
2011-10-11,6827.5
2011-10-10,6826.5
2011-10-07,6825.5
2011-10-06,6824.5
2011-10-05,6823.5
2011-10-04,6822.5
2011-10-03,6821.5
2011-09-30,6820.5
2011-09-29,6819.5
2011-09-28,6818.5
2011-09-27,6817.5
2011-09-26,6816.5
2011-09-23,6815.5
2011-09-22,6814.5
2011-09-21,6813.5
2011-09-20,6812.5
2011-09-19,6811.5
2011-09-16,6810.5
2011-09-15,6809.5
2011-09-14,6808.5
2011-09-13,6807.5
2011-09-12,6806.5
2011-09-09,6805.5
2011-09-08,6804.5
2011-09-07,6803.5
2011-09-06,6802.5
2011-09-05,6801.5
2011-09-02,6800.5
2011-09-01,6799.5
2011-08-31,6798.5
2011-08-30,6797.5
2011-08-26,6796.5
2011-08-25,6795.5
2011-08-24,6794.5
2011-08-23,6793.5
2011-08-22,6792.5
2011-08-19,6791.5
2011-08-18,6790.5
2011-08-17,6789.5
2011-08-16,6788.5
2011-08-15,6787.5
2011-08-12,6786.5
2011-08-11,6785.5
2011-08-10,6784.5
2011-08-09,6783.5
2011-08-08,6782.5
2011-08-05,6781.5
2011-08-04,6780.5
2011-08-03,6779.5
2011-08-02,6778.5
2011-08-01,6777.5
2011-07-29,6776.5
2011-07-28,6775.5
2011-07-27,6774.5
2011-07-26,6773.5
2011-07-25,6772.5
2011-07-22,6771.5
