Date,EWVAR_250
2012-04-20,76541.6334081
2012-04-19,77103.1473185
2012-04-18,77667.2432898
2012-04-17,78201.7702326
2012-04-16,78829.7131442
2012-04-13,79462.1129155
2012-04-12,80080.8425269
2012-04-11,80718.3296704
2012-04-10,81331.2088794
2012-04-05,81953.3450472
2012-04-04,82596.9656212
2012-04-03,83004.143644
2012-04-02,83292.8153163
2012-03-30,83862.0991613
2012-03-29,84476.8172242
2012-03-28,84965.2528153
2012-03-27,85272.7456733
2012-03-26,85450.5734608
2012-03-23,85799.0523393
2012-03-22,86175.3101588
2012-03-21,86382.4829926
2012-03-20,86585.9011633
2012-03-19,86462.2616581
2012-03-16,86300.7953126
2012-03-15,86251.8495471
2012-03-14,86167.0406888
2012-03-13,86014.780578
2012-03-12,86149.1377364
2012-03-09,86298.1413228
2012-03-08,86551.2604418
2012-03-07,87022.1937684
2012-03-06,87557.7683099
2012-03-05,87744.2675117
2012-03-02,87762.8776329
2012-03-01,87670.8661433
2012-02-29,87843.5481986
2012-02-28,87746.2589575
2012-02-27,87697.9776598
2012-02-24,87536.0627394
2012-02-23,87343.8003571
2012-02-22,87248.444117
2012-02-21,87078.1945986
2012-02-20,86798.2224032
2012-02-17,86716.1544711
2012-02-16,86717.8521937
2012-02-15,86675.3329708
2012-02-14,86581.94239
2012-02-13,86445.108396
2012-02-10,86550.6271013
2012-02-09,86441.8494725
2012-02-08,86417.3162486
2012-02-07,86308.9802174
2012-02-06,86176.9990506
2012-02-03,85983.4352553
2012-02-02,86253.2137327
2012-02-01,86538.3100923
2012-01-31,87123.2001476
2012-01-30,87730.1865179
2012-01-27,88199.2884056
2012-01-26,88464.8124215
2012-01-25,88959.5291526
2012-01-24,89370.5890235
2012-01-23,89674.9558524
2012-01-20,90151.5718462
2012-01-19,90590.9673989
2012-01-18,91136.0113161
2012-01-17,91702.58583
2012-01-16,92345.8524986
2012-01-13,93025.8431545
2012-01-12,93667.9430679
2012-01-11,94297.2451409
2012-01-10,94871.8140061
2012-01-09,95597.7702052
2012-01-06,96276.6506109
2012-01-05,96997.9205003
2012-01-04,97650.1269547
2012-01-03,98233.0549785
2011-12-30,99014.356753
2011-12-29,99804.3457679
2011-12-28,100596.720473
2011-12-23,101398.019447
2011-12-22,102154.052002
2011-12-21,102784.567681
2011-12-20,103484.852225
2011-12-19,104053.094771
2011-12-16,104683.465034
2011-12-15,105349.576304
2011-12-14,105926.633846
2011-12-13,106748.316189
2011-12-12,107483.403963
2011-12-09,108342.734828
2011-12-08,109175.564609
2011-12-07,110052.261926
2011-12-06,110933.959185
2011-12-05,111822.889478
2011-12-02,112721.063332
2011-12-01,113594.566348
2011-11-30,114489.014299
2011-11-29,115028.926193
2011-11-28,115476.386142
2011-11-25,115151.303842
2011-11-24,114553.726341
2011-11-23,114012.280713
2011-11-22,113872.802041
2011-11-21,113806.627588
2011-11-18,114363.733388
2011-11-17,115097.147672
2011-11-16,115986.141234
2011-11-15,116890.24042
2011-11-14,117802.665404
2011-11-11,118741.034483
2011-11-10,119552.92088
2011-11-09,120400.895301
2011-11-08,121366.921673
2011-11-07,122304.096046
2011-11-04,123264.326086
2011-11-03,124244.914724
2011-11-02,125167.857242
2011-11-01,125966.532341
2011-10-31,126966.641047
2011-10-28,127869.156727
2011-10-27,128753.049392
2011-10-26,129781.220174
2011-10-25,130798.94237
2011-10-24,131840.728331
2011-10-21,132829.683205
2011-10-20,133579.009332
2011-10-19,134507.467602
2011-10-18,135340.14422
2011-10-17,136245.259028
2011-10-14,137220.477733
2011-10-13,138043.978815
2011-10-12,138974.318785
2011-10-11,139779.744954
2011-10-10,140597.134897
2011-10-07,141037.314242
2011-10-06,141410.86672
2011-10-05,140534.278704
2011-10-04,138125.640937
2011-10-03,136920.496455
2011-09-30,136109.83002
2011-09-29,135767.49222
2011-09-28,135539.259221
2011-09-27,135745.603715
2011-09-26,134490.803714
2011-09-23,132984.596393
2011-09-22,131185.966861
2011-09-21,131236.302795
2011-09-20,131659.011579
2011-09-19,131510.058336
2011-09-16,131932.137977
2011-09-15,132197.851502
2011-09-14,131786.134418
2011-09-13,130956.219604
2011-09-12,129719.076826
2011-09-09,129116.799271
2011-09-08,129283.078576
2011-09-07,129315.601279
2011-09-06,128183.844785
2011-09-05,126524.111699
2011-09-02,126303.832057
2011-09-01,126741.860534
2011-08-31,127063.98022
2011-08-30,126643.872248
2011-08-26,125080.358159
2011-08-25,123473.753071
2011-08-24,122462.64166
2011-08-23,120739.775907
2011-08-22,118626.817231
2011-08-19,115871.785966
2011-08-18,113583.317454
2011-08-17,113230.725565
2011-08-16,113017.80414
2011-08-15,112741.955889
2011-08-12,112245.415273
2011-08-11,110448.480777
2011-08-10,106923.789679
2011-08-09,105004.464911
2011-08-08,102029.212826
2011-08-05,100713.287375
2011-08-04,100407.805032
2011-08-03,100946.654505
2011-08-02,101738.161284
2011-08-01,102554.938908
2011-07-29,103360.00591
2011-07-28,104098.140366
2011-07-27,104867.479997
2011-07-26,105489.499406
2011-07-25,106124.698378
2011-07-22,106735.080241
2011-07-21,107435.862075
2011-07-20,108227.451591
2011-07-19,109089.181115
2011-07-18,109965.053977
2011-07-15,110790.248997
2011-07-14,111616.467059
2011-07-13,112333.174444
2011-07-12,113132.664709
2011-07-11,113796.179211
2011-07-08,114255.191314
2011-07-07,114428.965451
2011-07-06,114826.74314
2011-07-05,115127.926587
2011-07-04,115450.671414
2011-07-01,115883.82088
2011-06-30,116475.159915
2011-06-29,117301.111665
2011-06-28,118237.023165
2011-06-27,119184.45031
2011-06-24,120127.76426
2011-06-23,121058.124992
2011-06-22,122021.568712
2011-06-21,122991.313559
2011-06-20,123961.920522
2011-06-17,124952.547969
2011-06-16,125942.345103
2011-06-15,126953.890942
2011-06-14,127941.401352
2011-06-13,128959.765499
2011-06-10,129989.947462
2011-06-09,130922.323232
2011-06-08,131933.299855
2011-06-07,132861.772054
2011-06-06,133798.490317
2011-06-03,134757.137438
2011-06-02,135735.131668
2011-06-01,136515.968179
2011-05-31,137070.606932
2011-05-27,137816.301902
2011-05-26,138733.666512
2011-05-25,139681.707753
2011-05-24,140661.043934
2011-05-23,141690.752162
2011-05-20,142418.450541
2011-05-19,143117.243368
2011-05-18,143930.736919
2011-05-17,144922.138432
2011-05-16,145740.217508
2011-05-13,146551.79527
2011-05-12,147295.207646
2011-05-11,147912.166589
2011-05-10,148324.015428
2011-05-09,149065.928898
2011-05-06,149665.392219
2011-05-05,150486.649287
2011-05-04,151046.97809
2011-05-03,151063.461777
2011-04-28,151141.306759
2011-04-27,151211.872665
2011-04-26,151257.161068
2011-04-21,151580.894768
2011-04-20,151870.975547
2011-04-19,152715.642743
2011-04-18,153649.728385
2011-04-15,154065.020716
2011-04-14,154629.801888
2011-04-13,154950.412248
2011-04-12,155495.305656
2011-04-11,155540.487126
2011-04-08,155551.402793
2011-04-07,155833.533726
2011-04-06,155902.163409
2011-04-05,156155.825459
2011-04-04,156337.640096
2011-04-01,156545.555141
2011-03-31,157250.873025
2011-03-30,157771.177093
2011-03-29,158361.482657
2011-03-28,159070.613461
2011-03-25,159792.23821
2011-03-24,160592.926788
2011-03-23,161673.456352
2011-03-22,162837.788766
2011-03-21,163955.457221
2011-03-18,165212.13205
2011-03-17,166505.077868
2011-03-16,167833.697126
2011-03-15,169148.271369
2011-03-14,170336.546403
2011-03-11,171381.079197
2011-03-10,172372.141864
2011-03-09,172966.871631
2011-03-08,173350.216351
2011-03-07,173726.184012
2011-03-04,173990.138395
2011-03-03,174146.141677
2011-03-02,174795.832675
2011-03-01,175330.910993
2011-02-28,175516.161031
2011-02-25,175636.888764
2011-02-24,176214.968433
2011-02-23,176765.766754
2011-02-22,176870.636923
2011-02-21,176833.614026
2011-02-18,176260.570529
2011-02-17,175614.835025
2011-02-16,174947.993845
2011-02-15,174623.459286
2011-02-14,174089.876219
2011-02-11,173498.275016
2011-02-10,173203.359007
2011-02-09,172628.58861
2011-02-08,171690.125763
2011-02-07,171047.297113
2011-02-04,170782.216979
2011-02-03,170590.918001
2011-02-02,170249.595829
2011-02-01,170182.05641
2011-01-31,170672.093026
2011-01-28,171049.350548
2011-01-27,170875.898514
2011-01-26,170646.584816
2011-01-25,170743.358124
2011-01-24,170644.442305
2011-01-21,170834.96304
2011-01-20,171179.092255
2011-01-19,170777.419597
2011-01-18,169680.168428
2011-01-17,169133.32505
2011-01-14,168418.558198
2011-01-13,167479.940641
2011-01-12,166257.308736
2011-01-11,165311.170672
2011-01-10,164795.439026
2011-01-07,164020.465898
2011-01-06,162901.606518
2011-01-05,161510.251212
2011-01-04,160340.740745
2010-12-31,160047.232033
2010-12-30,159169.630179
2010-12-29,158029.661891
2010-12-24,156728.293251
2010-12-23,155491.875628
2010-12-22,154318.62224
2010-12-21,153372.832736
2010-12-20,152867.183358
2010-12-17,152476.572408
2010-12-16,151987.870293
2010-12-15,151459.304609
2010-12-14,150829.056739
2010-12-13,150394.362318
2010-12-10,150264.209206
2010-12-09,150144.537176
2010-12-08,150090.576916
2010-12-07,149923.752143
2010-12-06,149979.289703
2010-12-03,150165.969002
2010-12-02,150204.08163
2010-12-01,150874.648964
2010-11-30,151917.019874
2010-11-29,152907.000821
2010-11-26,153462.874024
2010-11-25,153862.304773
2010-11-24,154457.003368
2010-11-23,155348.819096
2010-11-22,155822.909784
2010-11-19,156002.820894
2010-11-18,155942.320629
2010-11-17,156315.22479
2010-11-16,156733.802631
2010-11-15,156255.894188
2010-11-12,155920.004066
2010-11-11,155420.076827
2010-11-10,154874.886879
2010-11-09,153818.95399
2010-11-08,152932.377128
2010-11-05,151786.075295
2010-11-04,150702.802032
2010-11-03,150462.55351
2010-11-02,150138.128619
2010-11-01,150202.020851
2010-10-29,150364.34355
2010-10-28,150495.179856
2010-10-27,150792.058903
2010-10-26,150708.788236
2010-10-25,150294.746067
2010-10-22,149928.074816
2010-10-21,149411.628799
2010-10-20,149075.518427
2010-10-19,148885.297478
2010-10-18,148397.119427
2010-10-15,148157.62635
2010-10-14,147724.494131
2010-10-13,147110.146898
2010-10-12,147064.905689
2010-10-11,146929.662485
2010-10-08,146868.117625
2010-10-07,146757.004803
2010-10-06,146494.848421
2010-10-05,146505.642972
2010-10-04,146942.021039
2010-10-01,147175.978299
2010-09-30,147628.740826
2010-09-29,147968.057394
2010-09-28,148247.550052
2010-09-27,148541.879082
2010-09-24,148682.097812
2010-09-23,149088.670651
2010-09-22,149461.081021
2010-09-21,149691.22479
2010-09-20,149752.705964
2010-09-17,150302.443138
2010-09-16,150690.826903
2010-09-15,150986.376879
2010-09-14,151203.404921
2010-09-13,151417.006861
2010-09-10,151951.058038
2010-09-09,152513.151474
2010-09-08,153336.623758
2010-09-07,154236.247592
2010-09-06,155025.490228
2010-09-03,155855.682853
2010-09-02,156871.1005
2010-09-01,157903.570733
2010-08-31,159165.873669
2010-08-27,160444.200951
2010-08-26,161718.483797
2010-08-25,162953.099345
2010-08-24,164246.944234
2010-08-23,165555.874321
2010-08-20,166885.531584
2010-08-19,168224.738894
2010-08-18,169487.633351
2010-08-17,170659.284086
2010-08-16,171978.744442
2010-08-13,173308.884659
2010-08-12,174660.298847
2010-08-11,176042.610031
2010-08-10,177186.788957
2010-08-09,178224.296107
2010-08-06,179493.48945
2010-08-05,180683.648007
2010-08-04,181816.981493
2010-08-03,182919.973552
2010-08-02,184023.991941
2010-07-30,185457.238259
2010-07-29,186807.365253
2010-07-28,188153.56029
2010-07-27,189386.749242
2010-07-26,190667.962476
2010-07-23,192052.123432
2010-07-22,193442.361779
2010-07-21,194984.003986
2010-07-20,196539.404826
2010-07-19,198111.745264
2010-07-16,199700.538201
2010-07-15,201294.63018
2010-07-14,202862.612889
2010-07-13,204417.627082
2010-07-12,206059.045051
2010-07-09,207699.798115
2010-07-08,209328.473249
2010-07-07,210798.498472
2010-07-06,212124.824769
2010-07-05,212798.86081
2010-07-02,213545.29533
2010-07-01,214091.139507
2010-06-30,215213.733679
2010-06-29,216323.640358
2010-06-28,217943.566416
2010-06-25,219519.647673
2010-06-24,221211.22825
2010-06-23,222985.900612
2010-06-22,224754.682113
2010-06-21,226470.376656
2010-06-18,228262.621546
2010-06-17,230065.828735
2010-06-16,231896.964541
2010-06-15,233754.23767
2010-06-14,235630.946554
2010-06-11,237517.072789
2010-06-10,239395.82026
2010-06-09,241225.743933
2010-06-08,242940.113118
2010-06-07,244762.493816
2010-06-04,246688.689891
2010-06-03,248668.328693
2010-06-02,250649.177819
2010-06-01,252653.370691
2010-05-28,254682.129054
2010-05-27,256727.743897
2010-05-26,258583.854091
2010-05-25,260119.531191
2010-05-24,262069.423362
2010-05-21,264017.953257
2010-05-20,266001.998344
2010-05-19,268121.737547
2010-05-18,270188.006256
2010-05-17,272329.330218
2010-05-14,274486.995386
2010-05-13,276253.824645
2010-05-12,278198.542805
2010-05-11,280283.30635
2010-05-10,282240.720977
2010-05-07,284464.069131
2010-05-06,286715.192281
2010-05-05,288844.861862
2010-05-04,290783.856473
2010-04-30,292061.673382
2010-04-29,292916.657849
2010-04-28,293965.936275
2010-04-27,294889.158464
2010-04-26,294573.228689
2010-04-23,294489.906841
2010-04-22,294864.190631
2010-04-21,294709.626539
2010-04-20,293931.799503
2010-04-19,293641.537717
2010-04-16,293153.082548
2010-04-15,291774.055542
2010-04-14,290636.416449
2010-04-13,289795.543229
2010-04-12,288731.452613
2010-04-09,287673.763072
2010-04-08,287142.417888
2010-04-07,286061.392195
2010-04-06,284720.326546
2010-04-01,283689.545334
2010-03-31,283247.227037
2010-03-30,282826.390377
2010-03-29,281983.513242
2010-03-26,281161.415825
2010-03-25,280029.043544
2010-03-24,279339.830386
2010-03-23,278639.991247
2010-03-22,278167.699323
2010-03-19,277594.542922
2010-03-18,277043.421884
2010-03-17,276423.781525
2010-03-16,275983.594057
2010-03-15,275740.182962
2010-03-12,275160.561854
2010-03-11,274610.565471
2010-03-10,273784.249795
2010-03-09,273274.53503
2010-03-08,272675.169376
2010-03-05,272091.964516
2010-03-04,272112.686894
2010-03-03,272047.521881
2010-03-02,272350.126922
2010-03-01,273192.863122
2010-02-26,274342.426837
2010-02-25,275886.044531
2010-02-24,277094.525628
2010-02-23,278450.870994
2010-02-22,279594.222751
2010-02-19,280692.087875
2010-02-18,281975.568548
2010-02-17,283509.769755
2010-02-16,285195.894273
2010-02-15,287177.326955
2010-02-12,289244.664782
2010-02-11,291268.268124
2010-02-10,293389.197828
2010-02-09,295574.70075
2010-02-08,297818.344512
2010-02-05,300135.178413
2010-02-04,302295.346003
2010-02-03,304035.038595
2010-02-02,305625.841605
2010-02-01,307395.946324
2010-01-29,309421.625898
2010-01-28,311605.615586
2010-01-27,313533.206769
2010-01-26,315178.718585
2010-01-25,316910.444317
2010-01-22,318408.349685
2010-01-21,319703.751311
2010-01-20,320374.733613
2010-01-19,320218.794718
2010-01-18,320192.662804
2010-01-15,320474.071746
2010-01-14,320332.774125
2010-01-13,320375.992955
2010-01-12,320142.72321
2010-01-11,319469.47301
2010-01-08,318778.820102
2010-01-07,318107.58927
2010-01-06,317344.58641
2010-01-05,316600.165579
2010-01-04,316024.66749
2009-12-31,316220.852764
2009-12-30,316511.220268
2009-12-29,316411.821933
2009-12-24,316588.420711
2009-12-23,316986.666427
2009-12-22,317706.531516
2009-12-21,318662.980912
2009-12-18,320231.395954
2009-12-17,321673.624496
2009-12-16,322394.367001
2009-12-15,323352.353885
2009-12-14,324067.591565
2009-12-11,325158.986146
2009-12-10,326354.149354
2009-12-09,327800.307458
2009-12-08,329116.239467
2009-12-07,329779.85169
2009-12-04,330320.923504
2009-12-03,330910.226338
2009-12-02,331350.131097
2009-12-01,331886.292288
2009-11-30,333292.182191
2009-11-27,334308.790676
2009-11-26,335668.014314
2009-11-25,335646.817284
2009-11-24,335955.405808
2009-11-23,335939.54248
2009-11-20,336779.137611
2009-11-19,337465.335692
2009-11-18,337470.442915
2009-11-17,337395.837963
2009-11-16,336910.929657
2009-11-13,337198.263938
2009-11-12,337623.918499
2009-11-11,338099.816332
2009-11-10,338845.34924
2009-11-09,339526.91821
2009-11-06,340872.180113
2009-11-05,342319.350098
2009-11-04,343870.590309
2009-11-03,345819.924327
2009-11-02,347385.404777
2009-10-30,349295.00512
2009-10-29,350631.101337
2009-10-28,352327.496902
2009-10-27,353165.668892
2009-10-26,354053.338089
2009-10-23,354486.279078
2009-10-22,355188.491999
2009-10-21,355414.937287
2009-10-20,355734.47062
2009-10-19,355654.431
2009-10-16,356359.583334
2009-10-15,356749.815729
2009-10-14,356794.6219
2009-10-13,357696.043914
2009-10-12,358094.468356
2009-10-09,358874.75957
2009-10-08,359687.948688
2009-10-07,360835.887624
2009-10-06,361736.895998
2009-10-05,363432.909185
2009-10-02,365338.193984
2009-10-01,366871.179152
2009-09-30,367746.302945
2009-09-29,368375.730228
2009-09-28,368919.744088
2009-09-25,370119.623308
2009-09-24,371322.810973
2009-09-23,372017.157342
2009-09-22,372652.212221
2009-09-21,373326.314871
2009-09-18,373618.644053
2009-09-17,373953.353538
2009-09-16,374610.001436
2009-09-15,375902.732573
2009-09-14,377348.82498
2009-09-11,378834.170497
2009-09-10,380472.313165
2009-09-09,381985.391664
2009-09-08,383867.014985
2009-09-07,385831.453046
2009-09-04,388235.929257
2009-09-03,390887.44345
2009-09-02,393467.766744
2009-09-01,396050.278036
2009-08-28,398188.724069
2009-08-27,400547.104385
2009-08-26,402795.307385
2009-08-25,404891.788257
2009-08-24,407109.893256
2009-08-21,409577.702302
2009-08-20,412466.262554
2009-08-19,415579.09292
2009-08-18,418723.622957
2009-08-17,421980.061756
2009-08-14,425092.198461
2009-08-13,428084.944167
2009-08-12,431227.441055
2009-08-11,434516.071368
2009-08-10,437684.492757
2009-08-07,440841.747883
2009-08-06,444146.490225
2009-08-05,447580.068571
2009-08-04,450983.040203
2009-08-03,454381.224732
2009-07-31,457960.343387
2009-07-30,461527.192573
2009-07-29,465224.943981
2009-07-28,468959.775755
2009-07-27,472683.336843
2009-07-24,476446.743455
2009-07-23,480255.181662
2009-07-22,484109.955033
2009-07-21,487990.632084
2009-07-20,491871.742883
2009-07-17,495696.971917
2009-07-16,499489.849469
2009-07-15,503269.966784
2009-07-14,506678.358534
2009-07-13,509930.303237
2009-07-10,512759.279615
2009-07-09,515786.652892
2009-07-08,518706.645193
2009-07-07,521910.570175
2009-07-06,525168.835155
2009-07-03,528654.640415
2009-07-02,532146.74012
2009-07-01,536094.505334
2009-06-30,539699.247203
2009-06-29,543521.327056
2009-06-26,547124.300139
2009-06-25,550801.160629
2009-06-24,554623.547284
2009-06-23,558223.138084
2009-06-22,561859.022597
2009-06-19,566001.6834
2009-06-18,569909.358942
2009-06-17,573827.030131
2009-06-16,577979.448708
2009-06-15,582147.680604
2009-06-12,586691.987419
2009-06-11,591309.016041
2009-06-10,595911.807302
2009-06-09,600470.257995
2009-06-08,605062.7443
2009-06-05,609771.666359
2009-06-04,614378.441941
2009-06-03,619006.552191
2009-06-02,623893.921345
2009-06-01,628861.132358
2009-05-29,633697.234002
2009-05-28,638479.984065
2009-05-27,643381.089902
2009-05-26,648305.376175
