Date,Position,Equity,Debt
2012-04-20,0,81.5878822004,0.0
2012-04-19,0,81.5878822004,0.0
2012-04-18,0,81.5878822004,0.0
2012-04-17,0,81.5878822004,0.0
2012-04-16,0,81.5878822004,0.0
2012-04-13,0,81.5878822004,0.0
2012-04-12,0,81.5878822004,0.0
2012-04-11,0,81.5878822004,0.0
2012-04-10,0,81.5878822004,0.0
2012-04-05,0,81.5878822004,0.0
2012-04-04,0,81.5878822004,0.0
2012-04-03,0,81.5878822004,0.0
2012-04-02,0,81.5878822004,0.0
2012-03-30,0,81.5878822004,0.0
2012-03-29,0,81.5878822004,0.0
2012-03-28,0,81.5878822004,0.0
2012-03-27,0,81.5878822004,0.0
2012-03-26,0,81.5878822004,0.0
2012-03-23,0,81.5878822004,0.0
2012-03-22,0,81.5878822004,0.0
2012-03-21,0,81.5878822004,0.0
2012-03-20,0,81.5878822004,0.0
2012-03-19,0,81.5878822004,0.0
2012-03-16,0,81.5878822004,0.0
2012-03-15,0,81.5878822004,0.0
2012-03-14,0,81.5878822004,0.0
2012-03-13,0,81.5878822004,0.0
2012-03-12,0,81.5878822004,0.0
2012-03-09,0,81.5878822004,0.0
2012-03-08,0,81.5878822004,0.0
2012-03-07,0,81.5878822004,0.0
2012-03-06,0,81.5878822004,0.0
2012-03-05,0,81.5878822004,0.0
2012-03-02,0,81.5878822004,0.0
2012-03-01,0,81.5878822004,0.0
2012-02-29,0,81.5878822004,0.0
2012-02-28,0,81.5878822004,0.0
2012-02-27,0,81.5878822004,0.0
2012-02-24,0,81.5878822004,0.0
2012-02-23,0,81.5878822004,0.0
2012-02-22,0,81.5878822004,0.0
2012-02-21,0,81.5878822004,0.0
2012-02-20,0,81.5878822004,0.0
2012-02-17,0,81.5878822004,0.0
2012-02-16,0,81.5878822004,0.0
2012-02-15,0,81.5878822004,0.0
2012-02-14,0,81.5878822004,0.0
2012-02-13,0,81.5878822004,0.0
2012-02-10,0,81.5878822004,0.0
2012-02-09,0,81.5878822004,0.0
2012-02-08,0,81.5878822004,0.0
2012-02-07,0,81.5878822004,0.0
2012-02-06,0,81.5878822004,0.0
2012-02-03,0,81.5878822004,0.0
2012-02-02,0,81.5878822004,0.0
2012-02-01,0,81.5878822004,0.0
2012-01-31,0,81.5878822004,0.0
2012-01-30,0,81.5878822004,0.0
2012-01-27,0,81.5878822004,0.0
2012-01-26,0,81.5878822004,0.0
2012-01-25,0,81.5878822004,0.0
2012-01-24,0,81.5878822004,0.0
2012-01-23,0,81.5878822004,0.0
2012-01-20,0,81.5878822004,0.0
2012-01-19,0,81.5878822004,0.0
2012-01-18,0,81.5878822004,0.0
2012-01-17,0,81.5878822004,0.0
2012-01-16,0,81.5878822004,0.0
2012-01-13,0,81.5878822004,0.0
2012-01-12,0,81.5878822004,0.0
2012-01-11,0,81.5878822004,0.0
2012-01-10,0,81.5878822004,0.0
2012-01-09,0,81.5878822004,0.0
2012-01-06,0,81.5878822004,0.0
2012-01-05,0,81.5878822004,0.0
2012-01-04,0,81.5878822004,0.0
2012-01-03,0,81.5878822004,0.0
2011-12-30,0,81.5878822004,0.0
2011-12-29,0,81.5878822004,0.0
2011-12-28,0,81.5878822004,0.0
2011-12-23,0,81.5878822004,0.0
2011-12-22,0,81.5878822004,0.0
2011-12-21,0,81.5878822004,0.0
2011-12-20,0,81.5878822004,0.0
2011-12-19,0,81.5878822004,0.0
2011-12-16,0,81.5878822004,0.0
2011-12-15,0,81.5878822004,0.0
2011-12-14,0,81.5878822004,0.0
2011-12-13,0,81.5878822004,0.0
2011-12-12,0,81.5878822004,0.0
2011-12-09,0,81.5878822004,0.0
2011-12-08,0,81.5878822004,0.0
2011-12-07,0,81.5878822004,0.0
2011-12-06,0,81.5878822004,0.0
2011-12-05,0,81.5878822004,0.0
2011-12-02,0,81.5878822004,0.0
