Date,Position,Equity,Debt
2012-04-20,1,520.900640736,0.0
2012-04-19,1,518.409890804,0.0
2012-04-18,1,518.482086454,0.0
2012-04-17,1,520.440393466,0.0
2012-04-16,1,511.352765996,0.0
2012-04-13,1,510.044219836,0.0
2012-04-12,1,515.34157567,0.0
2012-04-11,1,508.501037812,0.0
2012-04-10,1,504.963450952,0.0
2012-04-05,1,516.532803899,0.0
2012-04-04,1,514.7369371,0.0
2012-04-03,1,526.874830791,0.0
2012-04-02,1,530.177781789,0.0
2012-03-30,1,520.57576031,0.0
2012-03-29,1,518.184279397,0.0
2012-03-28,1,524.230665102,0.0
2012-03-27,1,529.69046115,0.0
2012-03-26,1,532.686580634,0.0
2012-03-23,1,528.372890533,0.0
2012-03-22,1,527.5336161,0.0
2012-03-21,1,531.720963812,0.0
2012-03-20,1,531.666817074,0.0
2012-03-19,1,537.956863099,0.0
2012-03-16,1,538.362963631,0.0
2012-03-15,1,536.115874019,0.0
2012-03-14,1,536.540023464,0.0
2012-03-13,1,537.487591373,0.0
2012-03-12,1,531.793159462,0.0
2012-03-09,1,531.314863279,0.0
2012-03-08,1,528.806064435,0.0
2012-03-07,1,522.642360798,0.0
2012-03-06,1,520.332099991,0.0
2012-03-05,1,530.168757332,0.0
2012-03-02,1,533.444634961,0.0
2012-03-01,1,535.267575129,0.0
2012-02-29,1,529.870950275,0.0
2012-02-28,1,534.960743615,0.0
2012-02-27,1,533.841711037,0.0
2012-02-24,1,535.610504467,0.0
2012-02-23,1,535.863189243,0.0
2012-02-22,1,533.9319556,0.0
2012-02-21,1,534.987816984,0.0
2012-02-20,1,536.530999007,0.0
2012-02-17,1,532.903167584,0.0
2012-02-16,1,531.125349698,0.0
2012-02-15,1,531.739012724,0.0
2012-02-14,1,532.433895858,0.0
2012-02-13,1,532.957314322,0.0
2012-02-10,1,528.147279126,0.0
2012-02-09,1,532.036819782,0.0
2012-02-08,1,530.268026351,0.0
2012-02-07,1,531.567548055,0.0
2012-02-06,1,531.739012724,0.0
2012-02-03,1,532.542189333,0.0
2012-02-02,1,523.066510243,0.0
2012-02-01,1,522.579189604,0.0
2012-01-31,1,512.733507806,0.0
2012-01-30,1,511.785939897,0.0
2012-01-27,1,517.417200614,0.0
2012-01-26,1,522.985290136,0.0
2012-01-25,1,516.469632705,0.0
2012-01-24,1,519.077700569,0.0
2012-01-23,1,521.848208645,0.0
2012-01-20,1,516.9659778,0.0
2012-01-19,1,518.103059291,0.0
2012-01-18,1,514.610594712,0.0
2012-01-17,1,513.852540384,0.0
2012-01-16,1,510.549589387,0.0
2012-01-13,1,508.672502482,0.0
2012-01-12,1,511.000812201,0.0
2012-01-11,1,511.758866528,0.0
2012-01-10,1,514.096200704,0.0
2012-01-09,1,506.479559607,0.0
2012-01-06,1,509.854706254,0.0
2012-01-05,1,507.56249436,0.0
2012-01-04,1,511.551304034,0.0
2012-01-03,1,514.384983305,0.0
2011-12-30,1,502.869777096,0.0
2011-12-29,1,502.373432001,0.0
2011-12-28,1,497.012904972,0.0
2011-12-23,1,497.491201155,0.0
2011-12-22,1,492.464579009,0.0
2011-12-21,1,486.391119935,0.0
2011-12-20,1,489.089432362,0.0
2011-12-19,1,484.162079235,0.0
2011-12-16,1,486.174532984,0.0
2011-12-15,1,487.401859038,0.0
2011-12-14,1,484.324519448,0.0
2011-12-13,1,495.451674037,0.0
2011-12-12,1,489.838462233,0.0
2011-12-09,1,498.980236441,0.0
2011-12-08,1,494.883133291,0.0
2011-12-07,1,500.577565202,0.0
2011-12-06,1,502.54489667,0.0
2011-12-05,1,502.481725476,0.0
2011-12-02,1,501.064885841,0.0
2011-12-01,1,495.379478386,0.0
2011-11-30,1,496.832415847,0.0
2011-11-29,1,481.635231477,0.0
2011-11-28,1,479.451313058,0.0
2011-11-25,1,466.077068857,0.0
2011-11-24,1,462.738020034,0.0
2011-11-23,1,463.8390037,0.0
2011-11-22,1,469.885389405,0.0
2011-11-21,1,471.311253497,0.0
2011-11-18,1,483.972565653,0.0
2011-11-17,1,489.405288331,0.0
2011-11-16,1,497.157296273,0.0
2011-11-15,1,497.9153506,0.0
2011-11-14,1,498.059741901,0.0
2011-11-11,1,500.442198358,0.0
2011-11-10,1,491.363595343,0.0
2011-11-09,1,492.771410523,0.0
2011-11-08,1,502.418554282,0.0
2011-11-07,1,497.319736486,0.0
2011-11-04,1,498.799747315,0.0
2011-11-03,1,500.46024727,0.0
2011-11-02,1,494.91020666,0.0
2011-11-01,1,489.269921487,0.0
2011-10-31,1,500.333904882,0.0
2011-10-28,1,514.592545799,0.0
2011-10-27,1,515.639382727,0.0
2011-10-26,1,501.146105947,0.0
2011-10-25,1,498.646331559,0.0
2011-10-24,1,500.685858677,0.0
2011-10-21,1,495.316307192,0.0
2011-10-20,1,485.939897121,0.0
2011-10-19,1,491.877989351,0.0
2011-10-18,1,488.259182384,0.0
2011-10-17,1,490.632614385,0.0
2011-10-14,1,493.312877899,0.0
2011-10-13,1,487.627470445,0.0
2011-10-12,1,491.092861655,0.0
2011-10-11,1,486.932587312,0.0
2011-10-10,1,487.230394369,0.0
2011-10-07,1,478.603014168,0.0
2011-10-06,1,477.511054959,0.0
2011-10-05,1,460.44580814,0.0
2011-10-04,1,446.205216136,0.0
2011-10-03,1,458.036278314,0.0
2011-09-30,1,462.819240141,0.0
2011-09-29,1,468.982943778,0.0
2011-09-28,1,470.860030683,0.0
2011-09-27,1,477.754715278,0.0
2011-09-26,1,459.290677737,0.0
