Date,MMAX_10,MMAX_20
2012-04-12,5941.9,5989.1
2012-04-11,5941.9,5989.1
2012-04-10,5941.9,5989.1
2012-04-05,5941.9,5989.1
2012-04-04,5941.9,5989.1
2012-04-03,5961.1,5989.1
2012-04-02,5968.9,5989.1
2012-03-30,5974.0,5989.1
2012-03-29,5974.0,5989.1
2012-03-28,5989.1,5989.1
2012-03-27,5989.1,5989.1
2012-03-26,5989.1,5989.1
2012-03-23,5989.1,5989.1
2012-03-22,5989.1,5989.1
2012-03-21,5989.1,5989.1
2012-03-20,5989.1,5989.1
2012-03-19,5989.1,5989.1
2012-03-16,5989.1,5989.1
2012-03-15,5989.1,5989.1
2012-03-14,5957.9,5964.0
2012-03-13,5944.8,5964.0
2012-03-12,5944.8,5964.0
2012-03-09,5964.0,5964.0
2012-03-08,5964.0,5964.0
2012-03-07,5964.0,5964.0
2012-03-06,5964.0,5964.0
2012-03-05,5964.0,5964.0
2012-03-02,5964.0,5964.0
2012-03-01,5964.0,5964.0
2012-02-29,5964.0,5964.0
2012-02-28,5964.0,5964.0
2012-02-27,5964.0,5964.0
2012-02-24,5956.3,5956.3
2012-02-23,5956.3,5956.3
2012-02-22,5956.3,5956.3
2012-02-21,5956.3,5956.3
2012-02-20,5923.8,5923.8
2012-02-17,5923.8,5923.8
2012-02-16,5923.8,5923.8
2012-02-15,5920.6,5920.6
2012-02-14,5920.1,5920.1
2012-02-13,5916.3,5916.3
2012-02-10,5916.3,5916.3
2012-02-09,5916.2,5916.2
2012-02-08,5906.6,5906.6
2012-02-07,5901.1,5901.1
2012-02-06,5901.1,5901.1
2012-02-03,5809.8,5809.8
2012-02-02,5806.2,5806.2
2012-02-01,5806.2,5806.2
2012-01-31,5806.2,5806.2
2012-01-30,5806.2,5806.2
2012-01-27,5806.2,5806.2
2012-01-26,5789.9,5789.9
2012-01-25,5789.9,5789.9
2012-01-24,5789.9,5789.9
2012-01-23,5749.8,5749.8
2012-01-20,5743.9,5743.9
2012-01-19,5724.4,5724.4
2012-01-18,5724.4,5724.4
2012-01-17,5719.8,5719.8
2012-01-16,5719.8,5719.8
2012-01-13,5719.8,5719.8
