Date,MMIN_10,MMIN_20
2012-04-12,5576.4,5576.4
2012-04-11,5595.5,5595.5
2012-04-10,5663.3,5663.3
2012-04-05,5685.6,5685.6
2012-04-04,5726.5,5726.5
2012-04-03,5726.5,5726.5
2012-04-02,5726.5,5726.5
2012-03-30,5726.5,5726.5
2012-03-29,5801.7,5755.7
2012-03-28,5801.7,5755.7
2012-03-27,5801.7,5755.7
2012-03-26,5801.7,5755.7
2012-03-23,5825.9,5755.7
2012-03-22,5791.4,5755.7
2012-03-21,5755.7,5755.7
2012-03-20,5755.7,5755.7
2012-03-19,5755.7,5755.7
2012-03-16,5755.7,5755.7
2012-03-15,5755.7,5755.7
2012-03-14,5755.7,5680.7
2012-03-13,5755.7,5671.1
2012-03-12,5755.7,5651.6
2012-03-09,5755.7,5651.6
2012-03-08,5755.7,5651.6
2012-03-07,5758.4,5651.6
2012-03-06,5858.9,5651.6
2012-03-05,5858.9,5651.6
2012-03-02,5858.9,5651.6
2012-03-01,5829.4,5651.6
2012-02-29,5829.4,5647.9
2012-02-28,5829.4,5647.9
2012-02-27,5829.4,5609.9
2012-02-24,5829.4,5583.5
2012-02-23,5829.4,5583.5
2012-02-22,5829.4,5583.5
2012-02-21,5829.4,5583.5
2012-02-20,5829.4,5583.5
2012-02-17,5784.2,5583.5
2012-02-16,5765.7,5583.5
2012-02-15,5680.7,5583.5
2012-02-14,5671.1,5572.3
2012-02-13,5651.6,5535.2
2012-02-10,5651.6,5496.9
2012-02-09,5651.6,5491.0
2012-02-08,5651.6,5457.0
2012-02-07,5651.6,5389.7
2012-02-06,5651.6,5371.6
2012-02-03,5651.6,5328.7
2012-02-02,5651.6,5328.7
2012-02-01,5647.9,5328.7
2012-01-31,5647.9,5328.7
2012-01-30,5609.9,5328.7
2012-01-27,5583.5,5328.7
2012-01-26,5583.5,5328.7
2012-01-25,5583.5,5328.7
2012-01-24,5583.5,5328.7
2012-01-23,5583.5,5328.7
2012-01-20,5583.5,5328.7
2012-01-19,5583.5,5328.7
2012-01-18,5583.5,5328.7
2012-01-17,5572.3,5328.7
2012-01-16,5535.2,5275.0
2012-01-13,5496.9,5272.4
2012-01-12,5491.0,5164.6
2012-01-11,5457.0,5075.2
2012-01-10,5389.7,5075.2
2012-01-09,5371.6,5075.2
2012-01-06,5328.7,5075.2
2012-01-05,5328.7,5075.2
2012-01-04,5328.7,5075.2
2012-01-03,5328.7,5075.2
2011-12-30,5328.7,5075.2
2011-12-29,5328.7,5075.2
2011-12-28,5328.7,5075.2
2011-12-23,5328.7,5075.2
2011-12-22,5328.7,5075.2
2011-12-21,5328.7,5075.2
2011-12-20,5343.1,5075.2
2011-12-19,5366.8,5075.2
2011-12-16,5366.8,5075.2
2011-12-15,5366.8,5075.2
2011-12-14,5275.0,5075.2
2011-12-13,5272.4,5075.2
2011-12-12,5164.6,5075.2
2011-12-09,5075.2,5075.2
2011-12-08,5075.2,5075.2
2011-12-07,5075.2,5075.2
2011-12-06,5075.2,5075.2
2011-12-05,5075.2,5075.2
2011-12-02,5075.2,5075.2
2011-12-01,5075.2,5075.2
2011-11-30,5075.2,5075.2
2011-11-29,5075.2,5075.2
2011-11-28,5075.2,5075.2
2011-11-25,5099.0,5099.0
2011-11-24,5139.8,5139.8
2011-11-23,5206.8,5206.8
2011-11-22,5221.7,5221.7
2011-11-21,5347.9,5303.4
2011-11-18,5360.2,5261.4
2011-11-17,5360.2,5102.2
2011-11-16,5360.2,4944.4
2011-11-15,5338.4,4868.6
2011-11-14,5338.4,4868.6
2011-11-11,5338.4,4868.6
2011-11-10,5338.4,4868.6
2011-11-09,5338.4,4868.6
2011-11-08,5338.4,4868.6
2011-11-07,5338.4,4868.6
2011-11-04,5338.4,4868.6
2011-11-03,5338.4,4868.6
2011-11-02,5338.4,4868.6
2011-11-01,5348.6,4868.6
2011-10-31,5348.6,4868.6
2011-10-28,5348.6,4868.6
2011-10-27,5348.6,4868.6
2011-10-26,5348.2,4868.6
2011-10-25,5330.4,4868.6
2011-10-24,5303.4,4868.6
2011-10-21,5261.4,4868.6
2011-10-20,5102.2,4868.6
2011-10-19,4944.4,4868.6
2011-10-18,4868.6,4868.6
2011-10-17,4868.6,4868.6
2011-10-14,4868.6,4868.6
2011-10-13,4868.6,4868.6
2011-10-12,4868.6,4868.6
2011-10-11,4868.6,4868.6
2011-10-10,4868.6,4868.6
2011-10-07,4868.6,4868.6
2011-10-06,4868.6,4868.6
2011-10-05,4868.6,4868.6
2011-10-04,4928.1,4928.1
2011-10-03,4928.1,4928.1
2011-09-30,4928.1,4928.1
2011-09-29,4928.1,4928.1
2011-09-28,4928.1,4928.1
2011-09-27,4928.1,4928.1
2011-09-26,4928.1,4928.1
2011-09-23,5013.5,4929.5
2011-09-22,5059.2,4929.5
2011-09-21,5059.2,4791.0
2011-09-20,5059.2,4791.0
2011-09-19,5059.2,4791.0
2011-09-16,5059.2,4791.0
2011-09-15,5059.2,4791.0
2011-09-14,5059.2,4791.0
2011-09-13,5059.2,4791.0
2011-09-12,5014.8,4791.0
2011-09-09,5014.8,4791.0
2011-09-08,5014.8,4791.0
2011-09-07,5014.8,4791.0
2011-09-06,4993.3,4791.0
2011-09-05,4929.5,4791.0
2011-09-02,4929.5,4791.0
2011-09-01,4929.5,4791.0
2011-08-31,4929.5,4791.0
2011-08-30,4929.5,4791.0
2011-08-26,4929.5,4791.0
2011-08-25,4929.5,4791.0
2011-08-24,4929.5,4791.0
2011-08-23,4791.0,4791.0
2011-08-22,4791.0,4791.0
2011-08-19,4791.0,4791.0
2011-08-18,4791.0,4791.0
2011-08-17,4791.0,4791.0
2011-08-16,4791.0,4791.0
2011-08-15,4791.0,4791.0
2011-08-12,4791.0,4791.0
2011-08-11,4791.0,4791.0
2011-08-10,4791.0,4791.0
2011-08-09,5062.4,5062.4
2011-08-08,5202.6,5202.6
2011-08-05,5393.1,5393.1
2011-08-04,5557.7,5557.7
2011-08-03,5705.3,5663.3
2011-08-02,5752.8,5663.3
