Date,Open,High,Low,Close,Volume,Adj Close
2012-09-25,1026.29,1026.29,1026.29,1026.29,000,1026.29
2012-09-24,993.72,993.72,993.72,993.72,000,993.72
2012-09-20,984.95,984.95,984.95,984.95,000,984.95
2012-09-19,999.95,999.95,999.95,999.95,000,999.95
2012-09-18,990.18,990.18,990.18,990.18,000,990.18
2012-09-17,986.08,986.08,986.08,986.08,000,986.08
2012-09-13,910.52,910.52,910.52,910.52,000,910.52
2012-09-12,920.92,920.92,920.92,920.92,000,920.92
2012-09-11,917.22,917.22,917.22,917.22,000,917.22
2012-09-10,892.26,892.26,892.26,892.26,000,892.26
2012-09-06,864.46,864.46,864.46,864.46,000,864.46
2012-09-05,853.70,853.70,853.70,853.70,000,853.70
2012-09-04,861.38,861.38,861.38,861.38,000,861.38
2012-09-03,833.60,833.60,833.60,833.60,000,833.60
2012-08-30,790.43,790.43,790.43,790.43,000,790.43
2012-08-29,778.03,778.03,778.03,778.03,000,778.03
2012-08-28,782.26,782.26,782.26,782.26,000,782.26
2012-08-27,769.49,769.49,769.49,769.49,000,769.49
2012-08-23,746.43,746.43,746.43,746.43,000,746.43
2012-08-22,725.38,725.38,725.38,725.38,000,725.38
2012-08-21,729.78,729.78,729.78,729.78,000,729.78
2012-08-16,723.32,723.32,723.32,723.32,000,723.32
2012-08-15,708.90,708.90,708.90,708.90,000,708.90
2012-08-13,689.83,689.83,689.83,689.83,000,689.83
2012-08-09,671.26,671.26,671.26,671.26,000,671.26
2012-08-08,677.66,677.66,677.66,677.66,000,677.66
2012-08-07,691.10,691.10,691.10,691.10,000,691.10
2012-08-06,686.39,686.39,686.39,686.39,000,686.39
2012-08-02,663.91,680.62,663.91,680.62,000,680.62
2012-07-31,640.52,640.52,640.52,640.52,000,640.52
2012-07-30,616.88,616.88,616.88,616.88,000,616.88
2012-07-26,608.42,608.42,608.42,608.42,000,608.42
2012-07-25,603.06,603.06,603.06,603.06,000,603.06
2012-07-24,616.63,616.63,616.63,616.63,000,616.63
2012-07-19,624.92,624.92,624.92,624.92,000,624.92
2012-07-18,610.56,610.56,610.56,610.56,000,610.56
2012-07-17,611.58,611.58,611.58,611.58,000,611.58
2012-07-12,615.43,615.43,615.43,615.43,000,615.43
2012-07-11,611.67,611.67,611.67,611.67,000,611.67
2012-07-10,588.97,588.97,588.97,588.97,000,588.97
2012-07-09,582.72,582.72,582.72,582.72,000,582.72
2012-07-05,656.57,656.57,656.57,656.57,000,656.57
2012-07-04,646.19,646.19,646.19,646.19,000,646.19
2012-07-02,663.38,663.38,663.38,663.38,000,663.38
2012-06-28,604.62,604.62,604.62,604.62,000,604.62
2012-06-27,580.36,580.36,580.36,580.36,000,580.36
2012-06-26,577.53,577.53,577.53,577.53,000,577.53
2012-06-25,541.87,541.87,541.87,541.87,000,541.87
2012-06-21,415.75,415.75,415.75,415.75,000,415.75
2012-06-20,435.71,435.71,435.71,435.71,000,435.71
2012-06-19,432.51,432.51,432.51,432.51,000,432.51
2012-06-18,477.03,477.03,477.03,477.03,000,477.03
