Date,Open,High,Low,Close,Volume,Adj Close
2013-03-25,14981.80,15173.20,14980.20,13961.30,000,13961.30
2013-03-22,15015.70,15059.80,14926.50,13957.60,000,13957.60
2013-03-21,15067.70,15085.10,14939.90,13980.80,000,13980.80
2013-03-20,15071.30,15127.50,15013.90,14030.70,000,14030.70
2013-03-19,15126.00,15159.30,15042.10,14035.90,000,14035.90
2013-03-18,15135.20,15135.20,14944.40,14089.80,000,14089.80
2013-03-15,15102.90,15218.20,15102.60,14105.50,000,14105.50
2013-03-14,14972.20,15102.90,14971.70,14084.00,000,14084.00
2013-03-13,15016.00,15039.30,14929.50,13971.70,000,13971.70
2013-03-12,15007.70,15068.80,15000.30,14020.00,000,14020.00
2013-03-11,15015.00,15022.90,14957.80,14012.70,000,14012.70
2013-03-08,14951.20,15048.30,14950.30,14018.80,000,14018.80
2013-03-07,14932.00,14969.80,14902.30,13953.30,000,13953.30
2013-03-06,14867.20,14961.80,14865.00,13923.30,000,13923.30
2013-03-05,14650.40,14881.50,14650.40,13861.30,000,13861.30
2013-03-04,14735.00,14735.00,14609.80,13674.50,000,13674.50
2013-03-01,14676.00,14765.50,14656.10,13750.50,000,13750.50
2013-02-28,14585.00,14691.80,14582.90,13704.00,000,13704.00
2013-02-27,14487.60,14586.90,14472.70,13625.50,000,13625.50
2013-02-26,14646.80,14646.80,14384.70,13536.00,000,13536.00
2013-02-25,14651.00,14736.40,14568.80,13685.70,000,13685.70
2013-02-22,14520.10,14692.60,14520.10,13668.90,000,13668.90
2013-02-21,14722.30,14722.30,14442.10,13554.70,000,13554.70
2013-02-20,14637.80,14771.90,14634.20,13739.90,000,13739.90
2013-02-19,14462.60,14654.10,14462.60,13655.00,000,13655.00
2013-02-18,14536.10,14547.20,14443.80,13499.00,000,13499.00
2013-02-15,14473.70,14542.00,14419.90,13558.30,000,13558.30
2013-02-14,14589.90,14591.30,14425.80,13500.50,000,13500.50
2013-02-13,14444.80,14617.80,14411.00,13603.00,000,13603.00
2013-02-12,14323.70,14444.80,14285.80,13476.00,000,13476.00
2013-02-11,14336.90,14356.20,14287.70,13373.60,000,13373.60
2013-02-08,14250.80,14338.90,14250.80,13375.20,000,13375.20
2013-02-07,14288.20,14331.50,14230.10,13300.70,000,13300.70
2013-02-06,14165.90,14345.00,14165.90,13341.60,000,13341.60
2013-02-05,14089.70,14181.70,14049.30,13242.80,000,13242.80
2013-02-04,14197.50,14224.60,14082.40,13177.00,000,13177.00
2013-02-01,13907.80,14202.30,13907.80,13275.80,000,13275.80
2013-01-31,13917.50,13932.50,13847.10,13030.50,000,13030.50
2013-01-30,13980.00,14007.80,13878.20,13046.50,000,13046.50
2013-01-29,14016.40,14036.30,13924.70,13107.60,000,13107.60
2013-01-28,14034.50,14062.10,13996.60,13132.50,000,13132.50
2013-01-25,13952.80,14034.50,13939.10,13136.10,000,13136.10
2013-01-24,13801.70,13953.00,13801.50,13066.40,000,13066.40
2013-01-23,13833.60,13838.10,13742.30,12934.40,000,12934.40
2013-01-22,13878.00,13878.80,13794.10,12958.10,000,12958.10
2013-01-21,13832.70,13878.00,13794.10,12994.90,000,12994.90
2013-01-18,13729.50,13841.00,13729.50,12946.10,000,12946.10
2013-01-17,13633.10,13729.50,13623.40,12847.60,000,12847.60
2013-01-16,13652.70,13652.70,13568.50,12763.60,000,12763.60
2013-01-15,13633.70,13681.10,13618.80,12774.80,000,12774.80
2013-01-14,13681.00,13751.90,13617.20,12759.10,000,12759.10
2013-01-11,13598.60,13693.40,13598.60,12797.80,000,12797.80
2013-01-10,13570.30,13647.80,13566.10,12730.80,000,12730.80
2013-01-09,13488.90,13570.80,13488.90,12709.10,000,12709.10
2013-01-08,13593.20,13593.80,13488.40,12635.00,000,12635.00
2013-01-07,13561.20,13593.20,13526.70,12722.00,000,12722.00
2013-01-04,13520.60,13563.50,13468.00,12694.90,000,12694.90
2013-01-03,13474.00,13543.90,13455.70,12651.20,000,12651.20
2013-01-02,13216.80,13502.70,13216.80,12611.80,000,12611.80
2012-12-31,13195.00,13216.80,13145.20,12375.00,000,12375.00
2012-12-28,13239.30,13262.60,13175.40,12359.70,000,12359.70
2012-12-27,13241.40,13294.20,13217.10,12397.70,000,12397.70
2012-12-24,13199.70,13250.00,13194.60,12395.80,000,12395.80
2012-12-21,13270.60,13270.60,13119.00,12362.40,000,12362.40
2012-12-20,13245.00,13278.40,13219.90,12422.80,000,12422.80
2012-12-19,13120.10,13257.20,13120.10,12402.40,000,12402.40
2012-12-18,13039.80,13126.50,13039.80,12293.20,000,12293.20
2012-12-17,13064.30,13092.30,13013.40,12218.60,000,12218.60
2012-12-14,13027.30,13079.80,13025.80,12244.20,000,12244.20
2012-12-13,13039.20,13050.30,12997.00,12211.60,000,12211.60
2012-12-12,13002.20,13047.10,12998.30,12224.30,000,12224.30
2012-12-11,12995.10,13029.20,12990.10,12190.60,000,12190.60
2012-12-10,13009.20,13009.40,12942.10,12178.20,000,12178.20
2012-12-07,12968.10,13009.20,12932.80,12187.60,000,12187.60
2012-12-06,12908.40,13014.10,12905.30,12149.20,000,12149.20
2012-12-05,12857.30,12938.80,12857.30,12908.40,000,12908.40
2012-12-04,12827.70,12865.60,12817.80,12857.30,000,12857.30
2012-12-03,12832.80,12897.10,12807.60,12827.70,000,12827.70
2012-11-30,12824.70,12882.90,12824.70,12034.20,000,12034.20
2012-11-29,12669.50,12826.10,12669.50,12026.60,000,12026.60
2012-11-28,12639.90,12669.50,12558.30,11890.60,000,11890.60
2012-11-27,12614.60,12671.90,12604.00,11867.20,000,11867.20
2012-11-26,12671.30,12671.30,12600.80,11843.60,000,11843.60
2012-11-23,12641.80,12671.30,12625.80,11888.90,000,11888.90
2012-11-22,12553.40,12641.80,12553.40,11861.70,000,11861.70
2012-11-21,12601.60,12602.20,12522.30,11783.30,000,11783.30
2012-11-20,12506.30,12611.60,12480.60,11820.80,000,11820.80
2012-11-19,12322.20,12506.90,12322.20,11744.80,000,11744.80
2012-11-16,12443.60,12468.20,12322.20,11577.00,000,11577.00
2012-11-15,12479.80,12479.80,12412.30,11683.50,000,11683.50
2012-11-14,12564.20,12576.60,12479.80,11718.70,000,11718.70
2012-11-13,12573.60,12573.60,12481.80,11797.20,000,11797.20
2012-11-12,12618.70,12638.80,12573.60,11803.30,000,11803.30
2012-11-09,12682.10,12700.40,12571.70,11842.40,000,11842.40
2012-11-08,12756.20,12810.60,12682.10,11895.70,000,11895.70
2012-11-07,12889.90,12954.80,12754.30,11961.30,000,11961.30
2012-11-06,12836.70,12889.90,12832.50,12081.50,000,12081.50
2012-11-05,12935.70,12935.70,12797.00,12030.50,000,12030.50
2012-11-02,12909.20,12992.30,12897.20,12120.80,000,12120.80
2012-11-01,12727.80,12913.50,12724.50,12091.80,000,12091.80
2012-10-31,12746.10,12813.00,12716.80,11935.00,000,11935.00
2012-10-30,12708.90,12758.20,12703.10,11954.20,000,11954.20
2012-10-29,12715.80,12722.50,12617.80,11920.70,000,11920.70
2012-10-26,12766.10,12766.10,12641.30,11925.90,000,11925.90
2012-10-25,12637.90,12800.10,12631.80,11972.20,000,11972.20
2012-10-24,12670.10,12695.80,12602.30,11862.70,000,11862.70
2012-10-23,12838.00,12845.60,12656.30,11891.10,000,11891.10
2012-10-22,12872.30,12877.90,12815.30,12040.00,000,12040.00
2012-10-19,12864.70,12909.20,12833.30,12074.30,000,12074.30
