Date,Open,High,Low,Close,Volume,Adj Close
2013-03-25,8434.60,8461.90,8100.30,8140.60,363679400,8140.60
2013-03-22,8321.80,8395.10,8258.90,8329.50,238206400,8329.50
2013-03-21,8412.60,8447.80,8260.80,8351.20,284508000,8351.20
2013-03-20,8394.30,8494.40,8327.00,8416.30,244362000,8416.30
2013-03-19,8499.90,8532.40,8250.50,8321.00,356447000,8321.00
2013-03-18,8383.20,8527.60,8351.80,8507.80,265680000,8507.80
2013-03-15,8645.20,8649.90,8544.50,8619.10,417423800,8619.10
2013-03-14,8532.80,8670.40,8529.60,8657.90,278296400,8657.90
2013-03-13,8502.70,8516.70,8434.90,8498.30,210766000,8498.30
2013-03-12,8529.00,8598.10,8506.70,8532.30,186354400,8532.30
2013-03-11,8605.00,8610.20,8495.60,8554.40,174802200,8554.40
2013-03-08,8444.10,8638.30,8439.80,8628.10,328120200,8628.10
2013-03-07,8393.40,8454.70,8379.90,8389.10,176284000,8389.10
2013-03-06,8436.20,8485.00,8356.30,8358.90,188364600,8358.90
2013-03-05,8325.40,8429.50,8313.10,8423.30,255574000,8423.30
2013-03-04,8135.10,8271.70,8129.20,8246.30,232940000,8246.30
2013-03-01,8220.50,8285.80,8105.20,8187.10,335826000,8187.10
2013-02-28,8185.80,8252.30,8142.80,8230.30,351215800,8230.30
2013-02-27,8015.90,8136.70,7966.40,8136.70,290260000,8136.70
2013-02-26,7943.20,8099.80,7911.10,7980.70,407966800,7980.70
2013-02-25,8232.70,8400.10,8135.20,8244.50,329551400,8244.50
2013-02-22,8059.30,8179.00,8051.10,8179.00,218057800,8179.00
2013-02-21,8117.50,8117.60,7982.00,8014.50,273812400,8014.50
2013-02-20,8235.10,8274.40,8146.90,8163.00,174829600,8163.00
2013-02-19,8090.00,8230.80,8087.00,8225.30,256625000,8225.30
2013-02-18,8110.90,8145.40,8037.30,8108.90,000,8108.90
2013-02-15,8237.30,8251.20,8150.20,8150.20,242670000,8150.20
2013-02-14,8272.00,8328.70,8155.50,8247.40,264982800,8247.40
2013-02-13,8257.70,8343.40,8211.90,8306.20,267526200,8306.20
2013-02-12,8069.00,8240.80,8045.10,8234.70,243712000,8234.70
2013-02-11,8181.50,8181.50,8056.00,8078.60,176146200,8078.60
2013-02-08,8025.40,8183.30,8008.70,8174.90,231593600,8174.90
2013-02-07,8081.50,8160.10,8005.60,8014.60,267892800,8014.60
2013-02-06,8115.40,8161.00,8013.00,8056.20,323687200,8056.20
2013-02-05,7901.50,8126.80,7895.50,8093.60,340040400,8093.60
2013-02-04,8225.00,8227.70,7916.80,7919.60,395048000,7919.60
2013-02-01,8233.40,8301.30,8159.50,8229.70,598095600,8229.70
2013-01-31,8542.50,8543.70,8362.30,8362.30,306581000,8362.30
2013-01-30,8647.10,8689.20,8556.10,8571.90,187322400,8571.90
2013-01-29,8674.40,8690.90,8606.80,8643.00,179377600,8643.00
2013-01-28,8755.90,8755.90,8672.50,8672.50,170355600,8672.50
2013-01-25,8642.60,8734.10,8616.30,8724.60,180051600,8724.60
2013-01-24,8597.20,8673.00,8576.40,8665.60,199089000,8665.60
2013-01-23,8637.90,8650.40,8585.50,8613.30,229704400,8613.30
2013-01-22,8655.00,8675.40,8588.50,8632.10,223749600,8632.10
