Date,ATR_14,ATR_25,ATR_50,ATR_100,ATR_250,ATR_500
23/02/2012,63.33571429,72.824,82.758,116.968,122.638,111.6178
22/02/2012,68.47857143,73.568,83.882,117.821,122.7716,111.7864
21/02/2012,74.72142857,75.644,86.2,118.674,123.0632,111.9116
20/02/2012,74.67142857,76.204,87.68,119.357,123.2596,112.0132
17/02/2012,78.12857143,78.204,87.588,121.8,123.3276,111.9812
16/02/2012,78.82142857,78.056,87.906,122.918,123.2676,112.0422
15/02/2012,82.96428571,78.668,89.17,124.702,123.3104,112.0972
14/02/2012,85.55,80.752,92.506,127.472,123.3696,112.1952
13/02/2012,85.19285714,80.864,96.432,127.768,123.3164,112.2218
10/02/2012,85.4,80.684,98.602,128.712,123.4076,112.3122
09/02/2012,84.65,82.672,102.438,129.719,123.6164,112.4238
08/02/2012,88.1,84.724,104.042,130.684,123.722,112.4376
07/02/2012,88.52142857,89.068,104.626,132.034,123.6648,112.506
06/02/2012,86.81428571,87.764,105.31,132.529,123.6116,112.4646
03/02/2012,82.42142857,85.38,105.724,132.511,123.3408,112.3456
02/02/2012,83.15714286,83.84,107.426,133.581,123.0616,112.2724
01/02/2012,78.85,83.976,107.956,133.937,122.7772,112.2034
31/01/2012,78.8,85.024,109.63,135.181,123.0892,112.4876
30/01/2012,77.05,84.364,109.402,136.258,123.1624,112.5716
27/01/2012,76.89285714,85.36,110.404,136.883,123.2832,112.5616
26/01/2012,73.90714286,84.816,110.098,139.031,123.342,112.5986
25/01/2012,74.75,84.08,112.128,139.795,123.1968,112.6346
24/01/2012,77.14285714,85.14,114.294,140.768,123.2884,112.693
23/01/2012,84.13571429,88.836,116.748,142.746,123.2628,112.8288
20/01/2012,87,91.916,118.744,144.932,123.4256,112.9268
19/01/2012,85.75714286,92.692,119.392,145.347,123.3776,112.8628
18/01/2012,86.82142857,94.196,120.644,146.248,123.9664,112.9094
17/01/2012,89.6,96.756,122.206,146.932,124.0392,113.072
16/01/2012,90.42142857,99.156,123.642,147.554,124.0668,113.2802
13/01/2012,89.12857143,96.972,126.74,148.194,123.748,113.251
12/01/2012,91.86428571,97.756,129.608,150.509,123.8436,113.3336
11/01/2012,93.94285714,99.672,131.418,152.824,123.8096,113.316
10/01/2012,91.49285714,104.26,133.732,152.74,123.7888,113.27
09/01/2012,92.82857143,112,134.076,152.998,123.8252,113.2258
06/01/2012,99.95714286,116.52,135.06,154.917,123.8572,113.2592
05/01/2012,101.1571429,122.204,136.418,157.732,123.9,113.2718
04/01/2012,102.3285714,123.36,137.002,159.067,123.8588,113.2246
03/01/2012,97.67857143,120.184,135.69,160.139,123.776,113.0042
30/12/2011,102.8714286,122.856,136.22,163.231,124.0728,112.9572
29/12/2011,107.0214286,126.068,137.37,165.714,124.2092,112.9042
28/12/2011,106.6071429,131.012,138.602,168.915,124.1036,112.9738
23/12/2011,103.4571429,131.936,138.258,170.938,123.7896,112.9476
22/12/2011,104.9571429,134.236,138.304,172.028,123.5708,112.8598
21/12/2011,112.5785714,134.44,138.38,172.903,123.3796,112.749
20/12/2011,124.4642857,135.448,138.274,173.391,123.3588,112.6934
19/12/2011,130.5214286,135.38,139.274,173.523,123.3536,112.6656
16/12/2011,142.8285714,140.176,141.992,173.68,123.2856,112.6918
15/12/2011,145.3928571,143.448,147.146,173.735,123.1096,112.7772
14/12/2011,140.1142857,144.66,148.634,172.7,122.6496,112.7052
13/12/2011,142.25,145.572,150.526,172.036,122.36,112.7276
12/12/2011,145.3571429,146.092,151.178,172.285,122.2228,112.7378
09/12/2011,152.5642857,147.092,151.76,172.657,122.0896,112.6776
08/12/2011,152.4214286,147.656,151.148,172.186,121.6296,112.536
07/12/2011,153.0642857,148.128,151.034,171.384,121.268,112.41
06/12/2011,156.0357143,156.508,156.012,171.781,121.2072,112.403
05/12/2011,159.1714286,161.46,157.93,171.619,121.2144,112.3826
02/12/2011,157.7071429,163.164,160.234,171.207,121.0176,112.4088
01/12/2011,155.6285714,163.204,162.438,170.198,120.5716,112.2142
30/11/2011,148.9857143,156.152,159.104,168.92,120.4728,111.8418
29/11/2011,150.2071429,153.6,158.822,168.745,120.2948,111.6992
28/11/2011,142.8857143,150.632,157,167.393,120.122,111.345
25/11/2011,142.9214286,150.644,157.326,166.949,120.3084,111.3682
24/11/2011,145.7285714,151.196,159.442,166.623,120.366,111.4406
23/11/2011,147.1571429,149.584,159.748,165.584,120.2996,111.33
22/11/2011,146.4142857,148.672,159.298,164.828,120.0696,111.3522
21/11/2011,152.1357143,146.192,159.736,164.161,120.0748,111.3074
18/11/2011,156.1785714,144.58,159.918,164.488,119.9488,111.1266
17/11/2011,156.6142857,142.372,160.732,164.396,119.7356,110.986
16/11/2011,163.9428571,142.32,163.114,164.142,119.7212,111.0236
15/11/2011,161.4357143,141.1,163.362,163.402,119.7412,110.9628
14/11/2011,163.0571429,143.168,167.964,163.484,120.0016,110.9998
11/11/2011,161.5,143.808,167.462,162.779,119.6956,110.7106
