Date,EWATR_14,EWATR_25,EWATR_50,EWATR_100,EWATR_250,EWATR_500
2012-02-23,51.1871437969,57.7962551375,70.0148615645,85.376216903,93.6090998566,92.866831286
2012-02-22,52.3851659195,58.9959430656,71.1011824447,86.2242212849,94.0123857992,93.0650951389
2012-02-21,55.4905760609,61.2289383211,72.6889858098,87.3156196947,94.5088708257,93.309043416
2012-02-20,56.1506646857,62.0646831812,73.5660872714,88.0452281734,94.856733242,93.4778171371
2012-02-17,58.9123054066,64.0534067796,75.0096010376,89.0522024799,95.3118074046,93.6993715144
2012-02-16,58.2834293153,64.1411906779,75.4997888351,89.5785096007,95.5713399942,93.8224150876
2012-02-15,60.6039569023,65.8862899011,76.818147563,90.5154491886,95.9919933275,94.0253105389
2012-02-14,63.2507195026,67.7601473928,78.182153586,91.467276445,96.4144189767,94.2282175951
2012-02-13,62.5662148107,67.7651596756,78.6099965895,91.9474234439,96.6450568801,94.3345431166
2012-02-10,63.6379401662,68.7789229819,79.5491801238,92.6817148266,96.9747360519,94.4897917864
2012-02-09,66.3822386533,70.6938332303,80.9266976799,93.6288201766,97.3857781085,94.6849412524
2012-02-08,69.6871984461,72.8433193329,82.3971751362,94.6132407862,97.8073506234,94.8844800951
2012-02-07,71.7775366686,74.2385959439,83.4705292234,95.3912860546,98.1423494236,95.0399289131
2012-02-06,77.035619233,77.2918122726,85.3427957223,96.558786783,98.6286333547,95.2701490691
2012-02-03,70.9026375765,73.991129962,84.0547465681,96.1478531827,98.4818753897,95.1834562798
2012-02-02,75.0261202806,76.4820574588,85.6855525505,97.1993249641,98.9186776017,95.3881995916
2012-02-01,69.6455234007,73.6888955804,84.6931261239,96.9407254685,98.8296709961,95.3296352613
2012-01-31,71.2525270008,74.8963035454,85.7336618841,97.7031643668,99.1479816065,95.4744434186
2012-01-30,69.6144542317,74.3126621742,85.8901378794,98.0224202126,99.2865196113,95.5288500055
2012-01-27,70.1397548827,74.9887173554,86.6938169765,98.6652973886,99.5522747889,95.6464005065
2012-01-26,68.0997171723,74.287777135,86.8282584857,98.9736872349,99.6820119358,95.6954842761
2012-01-25,65.6996736604,73.5034252296,86.9559425056,99.2822465729,99.8103815096,95.7435623693
2012-01-24,66.1611619158,74.4037106654,87.9459809752,100.021281857,100.108456863,95.8760014971
2012-01-23,66.0628791337,75.0373532209,88.8090822395,100.692418864,100.375994669,95.9925385772
2012-01-20,71.8879374619,78.9404659893,91.2829223309,102.156912175,100.955721534,96.2642521587
2012-01-19,75.1476201484,81.293838155,92.9393681403,103.196445754,101.359381948,96.4468744118
2012-01-18,77.1703309404,82.9016580013,94.202199493,104.028697184,101.675521562,96.5849380367
2012-01-17,78.7349972389,84.2267961681,95.3124933498,104.776751672,101.954039808,96.7035149427
2012-01-16,82.6942275834,86.8290291821,97.0395338947,105.822746655,102.347244947,96.8786793312
2012-01-13,76.0779549039,83.5897816139,95.8697189516,105.421185982,102.159672617,96.7631630159
2012-01-12,78.6591787353,85.6139300817,97.3623605415,106.352927113,102.503927015,96.9133159739
2012-01-11,82.145206233,88.0817575885,99.0506201554,107.370157963,102.877452534,97.0772972003
2012-01-10,79.4598533458,87.1219040542,99.0281964883,107.527130852,102.903777453,97.067186167
2012-01-09,81.0382923221,88.6153960588,100.245673896,108.301416323,103.174490525,97.1788782959
2012-01-06,84.3672603716,91.050012397,101.912844259,109.289323724,103.526092859,97.3302966458
2012-01-05,85.8237619673,92.3958467634,103.015409331,109.984057536,103.756021316,97.4201976344
2012-01-04,87.7351099622,93.9788339937,104.224201548,110.723129406,103.99984478,97.5164709716
2012-01-03,81.6020499564,91.1770701598,103.270087326,110.382182525,103.8102853,97.3958957049
2011-12-30,85.9715961036,94.3418260065,105.31376436,111.537378132,104.216793616,97.5730335635
2011-12-29,88.4441493503,96.3786448404,106.759224129,112.378537286,104.492430512,97.6839475257
2011-12-28,90.2201723273,98.0018652437,107.977967971,113.095275413,104.71405646,97.7672499205
2011-12-23,94.9309680699,101.202020681,109.952578909,114.175988047,105.07641836,97.9202248701
2011-12-22,97.3357323884,103.027189071,111.203704579,114.880553463,105.283457865,97.9948550299
2011-12-21,95.7566142943,102.646121493,111.350794562,115.027635351,105.2648511,97.9563574549
2011-12-20,95.4730164934,103.066631618,111.912051483,115.379708792,105.326416169,97.9577857413
2011-12-19,99.8534805693,106.072184253,113.745196441,116.357076646,105.63425887,98.0818650429
2011-12-16,105.169400657,109.469866274,115.722551398,117.38853274,105.95822882,98.2132552835
2011-12-15,111.010846912,112.99235513,117.7030637,118.402442493,106.269539895,98.3375569079
2011-12-14,109.120207975,112.133384724,117.47461732,118.303501937,106.132749051,98.2375070358
2011-12-13,108.631009202,112.119500118,117.68582619,118.424784804,106.083212899,98.1811443385
2011-12-12,109.758856772,113.021125127,118.354635423,118.770740053,106.12163228,98.168643915
2011-12-09,111.321757813,114.139552221,119.120130746,119.158027731,106.174014868,98.1629070169
2011-12-08,109.7558744,113.526181573,119.022993225,119.11071516,106.050914586,98.0693715741
2011-12-07,106.041393539,111.828363371,118.415768459,118.811941729,105.827227153,97.9257618409
2011-12-06,111.416992544,115.222393652,120.347024315,119.775819339,106.106160704,98.0332799244
2011-12-05,119.804222167,120.082593123,122.936698776,121.046037912,106.501390911,98.1981427698
2011-12-02,121.866410192,121.222809216,123.611666073,121.341917466,106.502205296,98.1652695946
2011-12-01,130.307396376,125.741376651,125.922346321,122.43973398,106.819492085,98.2901804947
2011-11-30,109.739303511,114.219824705,120.286523722,119.579930626,105.556998046,97.6260128815
2011-11-29,115.576119435,117.754810097,122.265565507,120.54518175,105.828138592,97.7295239552
2011-11-28,108.249368579,113.967710939,120.594772262,119.68346825,105.367320428,97.4671172375
2011-11-25,105.656963745,113.040020184,120.410885416,119.574043366,105.20882501,97.3563642004
2011-11-24,108.788804321,115.351688532,121.84398278,120.266448282,105.368735251,97.4046863014
