Date,EWSTDEV_14,EWSTDEV_25,EWSTDEV_50,EWSTDEV_100,EWSTDEV_250,EWSTDEV_500
2012-02-23,71.1136611529,125.328475314,194.717413849,239.00449264,294.360041105,423.374638066
2012-02-22,74.9894260684,127.854271418,194.936404757,238.00968241,294.199315821,423.564069794
2012-02-21,77.5679166045,129.282011814,194.343624464,236.552091214,293.912137426,423.706695902
2012-02-20,76.8199714683,128.690447583,192.506447176,234.426108541,293.439266428,423.779936172
2012-02-17,79.9836189442,130.424366146,192.045049086,233.146864866,293.300509811,423.994422167
2012-02-16,84.5761034943,133.010817543,192.059461496,232.181028201,293.303380836,424.271321858
2012-02-15,88.5509497076,134.825536364,191.448979252,230.883191811,293.231466255,424.52185493
2012-02-14,91.3023459748,135.535843266,190.062621166,229.196433441,293.073448883,424.74210831
2012-02-13,92.2764261114,134.936996183,187.859563716,227.133956915,292.841770864,424.937800116
2012-02-10,97.841152086,137.512856867,187.643788424,226.247710681,293.020444103,425.303863395
2012-02-09,98.5649723165,136.233245394,184.929451769,224.05607474,292.836250899,425.527407784
2012-02-08,100.325121217,135.539408616,182.59839739,222.175586313,292.794692539,425.812670186
2012-02-07,97.8740389044,132.12185821,178.775832874,219.646089899,292.611105725,426.046051622
2012-02-06,90.8886254403,126.408552896,173.930355074,216.776988133,292.387294028,426.268726779
2012-02-03,73.0937934683,116.400690147,167.358806568,213.305625434,292.058741155,426.455918923
2012-02-02,72.3744771733,116.019847193,166.051917373,212.530617338,292.516558629,426.96009695
2012-02-01,70.4623103887,115.210058594,164.557052035,211.747238534,292.99959364,427.47665819
2012-01-31,75.2577373026,119.742765144,166.757013614,212.906688197,293.988080275,428.212064727
2012-01-30,79.6653037334,124.574467807,169.168243345,214.184413039,295.010408643,428.963499859
2012-01-27,84.9339896927,127.630355108,169.663751605,214.440496632,295.798081962,429.609392929
2012-01-26,82.9195902307,125.586163999,166.967928064,213.232981274,296.242997406,430.113823269
2012-01-25,88.0430236896,128.258700873,167.189845251,213.492582072,297.070173914,430.77925933
2012-01-24,90.4144097567,128.549591053,165.834636785,213.07584558,297.755726682,431.385465504
2012-01-23,86.0981061351,124.804976764,162.274843261,211.796216047,298.262324828,431.919488781
2012-01-20,87.800248662,124.815857599,160.975787284,211.633494282,299.053895921,432.573181257
2012-01-19,85.9443021016,122.668303505,158.542996927,211.092681569,299.78179887,433.201039688
2012-01-18,87.8069287946,122.867980459,157.548813846,211.261476556,300.682270743,433.903260089
2012-01-17,89.635265946,122.979328312,156.562616722,211.517613914,301.615463674,434.620236797
2012-01-16,94.4992683522,125.119312142,156.823096783,212.349161604,302.671486933,435.392980826
2012-01-13,100.732666553,128.179665822,157.651655477,213.455851394,303.783806853,436.192635875
2012-01-12,105.199241683,129.349775994,157.268134665,214.13550276,304.830420107,436.960577108
2012-01-11,108.149700333,129.179569347,156.168391347,214.619627018,305.852697764,437.717345693
2012-01-10,105.465991394,125.25966019,153.230420788,214.538545437,306.783088379,438.433563234
2012-01-09,111.391714972,127.42373451,153.793651041,215.80827741,307.954599013,439.262583104
2012-01-06,112.918591098,126.092637917,152.505454632,216.498693829,309.046122861,440.051153845
2012-01-05,116.144914915,125.944081608,152.014584266,217.543674571,310.201593634,440.870604518
2012-01-04,109.944505769,119.77636958,148.827798242,217.807266911,311.242732248,441.635465919
2012-01-03,85.6900435885,105.043281787,142.702533204,217.337607555,312.170340518,442.350524466
2011-12-30,82.8948894019,103.780989598,142.930120492,218.903281405,313.409313451,443.216336037
2011-12-29,77.4981913746,101.980171876,143.16735181,220.52277921,314.657102295,444.086926498
2011-12-28,79.2225529599,104.10033538,145.117803111,222.602231828,315.903708484,444.975978596
2011-12-23,78.9598590894,105.648218019,146.910539592,224.670061094,317.159371724,445.866606389
2011-12-22,83.7909387449,109.566602183,149.685975411,226.926295669,318.339560143,446.74852768
2011-12-21,89.0353204964,113.590078838,152.593798636,229.040461295,319.320477225,447.582173623
2011-12-20,95.6035791771,118.211619513,155.676807372,231.296289411,320.406416495,448.444419714
2011-12-19,99.3438987835,121.631118107,158.419719669,233.283480322,321.284899109,449.25220888
2011-12-16,104.700033444,125.886193659,161.461617429,235.432274966,322.256627306,450.087210905
2011-12-15,111.004753982,130.610434454,164.658079247,237.669017879,323.280276981,450.937288594
2011-12-14,113.918926294,134.224903537,167.564878335,239.710860305,324.164459681,451.750972524
2011-12-13,121.844357234,139.032106865,170.450907075,242.07749342,325.419317251,452.653823909
2011-12-12,130.219421044,144.658130428,173.892998171,244.472731124,326.537842445,453.530944262
2011-12-09,137.147082189,148.255128423,176.076448832,246.720743711,327.840580368,454.437145353
2011-12-08,146.77899861,153.595475042,179.147592455,249.170724759,329.09822217,455.344095753
2011-12-07,152.205432057,155.985602032,180.798336211,251.339925475,330.416935794,456.249438561
2011-12-06,153.367496376,156.142336804,181.594104867,253.337363948,331.73788327,457.147206594
2011-12-05,151.34877342,155.274367154,182.206328416,255.344181383,333.064363767,458.047043523
2011-12-02,147.455922671,154.550253114,183.173925666,257.492014186,334.399293627,458.955684655
2011-12-01,149.455822031,157.591079936,185.806461119,260.012121601,335.692463946,459.872915013
2011-11-30,145.75116891,159.125135467,188.024020408,262.491953272,337.011500236,460.793540323
2011-11-29,156.41802582,165.453443087,191.580496942,264.668632579,337.805211749,461.587837266
2011-11-28,168.001988978,171.521181241,194.873125822,266.621891341,338.461601418,462.344098962
2011-11-25,168.245327073,167.710518559,193.372564437,266.147589034,337.984857084,462.75130972
2011-11-24,156.198594667,156.457147445,189.255588928,264.639763455,337.106730366,463.038189598
2011-11-23,134.914495385,141.73197909,184.94579337,263.234455107,336.309108208,463.361083487
2011-11-22,116.003110536,131.556846141,183.503539571,263.185213552,336.103330847,463.878493348
2011-11-21,82.2880648084,119.102102489,182.337375851,263.34660796,336.005657542,464.435304686
2011-11-18,73.6628466271,120.018078657,185.394889152,265.459485949,336.827060223,465.262667843
2011-11-17,72.7978609197,123.949438058,189.108819075,267.991377248,337.905369815,466.155717886
2011-11-16,78.1963526448,128.697501189,192.413998858,270.66065709,339.207825634,467.088629027
2011-11-15,83.9002850751,133.390735864,195.615109198,273.337086221,340.527303027,468.02374139
2011-11-14,89.9669001391,138.154108372,198.807233825,276.034819796,341.853768153,468.960721098
2011-11-11,95.0883342305,141.970345533,201.451773445,278.659898503,343.212602968,469.896331062
2011-11-10,99.6358879413,147.665529216,205.487166257,281.413673803,344.383954302,470.814333738
2011-11-09,105.258636492,153.690019076,209.516913977,284.226169726,345.603133124,471.742742708
2011-11-08,110.765950823,156.980697456,211.708155243,286.819849024,346.986821762,472.676935378
2011-11-07,118.958008895,162.571061993,215.14538462,289.668797325,348.323931765,473.623012481
2011-11-04,127.416478196,167.688565498,218.263836536,292.499570023,349.688633362,474.570855818
2011-11-03,135.557794473,171.929513881,220.915357334,295.281859345,351.076794068,475.517737687
2011-11-02,145.55417463,178.395498749,224.781868625,298.247878022,352.378353198,476.464889624
2011-11-01,153.229022961,185.646353465,229.28529835,301.140724455,353.500798992,477.379544729
2011-10-31,163.835498945,190.385996455,232.035049276,304.018984535,354.901330898,478.332474653
2011-10-28,154.21755466,179.830920395,228.076962374,305.363253806,356.160468002,479.148200692
2011-10-27,129.966407137,162.056531164,222.41318666,306.474941549,357.38932366,479.946148091
2011-10-26,130.014414002,160.061638904,223.691940184,309.309205098,358.813470859,480.901470521
2011-10-25,131.509003471,159.129812068,225.678760771,312.299246404,360.217600596,481.863913344
2011-10-24,126.054805733,154.292114232,226.746439861,315.208580507,361.649284062,482.824487003
2011-10-21,126.419767969,153.449868866,229.462793569,318.35473789,363.003139603,483.787858864
2011-10-20,135.248545907,158.447215676,233.922121066,321.362340084,364.025596355,484.684140305
2011-10-19,139.141084755,159.601330285,237.534605535,324.586696414,365.288509239,485.636063295
2011-10-18,146.143072091,162.818395786,241.82442849,327.758894104,366.417434991,486.560931708
2011-10-17,149.712888165,163.763641055,245.748301579,331.028094527,367.640638986,487.507838111
2011-10-14,146.197218988,160.936320326,249.056631457,334.355072913,368.954045269,488.472781217
2011-10-13,148.610908877,162.182590726,253.521621089,337.597583027,370.059490832,489.396335629
2011-10-12,141.051338214,158.91526131,257.376562092,340.971694752,371.304394868,490.351742091
2011-10-11,135.980171128,158.33983872,262.018318211,344.245106052,372.378788462,491.270994512
2011-10-10,123.180712449,156.11839987,266.671741927,347.560646003,373.465981132,492.195003547
2011-10-07,122.385738269,159.978634184,272.059210042,350.23635058,374.05014499,492.988675455
2011-10-06,120.33504062,164.272242812,277.540022696,352.787529535,374.545173335,493.760651098
2011-10-05,127.916225711,168.780521696,280.005116489,352.242254272,373.382489747,494.032151559
