Date,STDEV_14,STDEV_25,STDEV_50,STDEV_100,STDEV_250,STDEV_500
2012-02-23,21.481624931,82.8309603953,172.805967779,213.579096306,292.104460016,304.828203361
2012-02-22,33.4898736676,84.621776299,171.260081934,214.738107049,292.11742562,304.654101349
2012-02-21,40.405898805,85.3813418494,169.915846418,214.189105874,292.099525333,304.529078351
2012-02-20,61.6917704664,86.2135252498,166.393821568,212.745636327,292.327395815,304.507917778
2012-02-17,77.3793662133,89.3423667473,163.437042313,210.80832823,292.795073075,304.440304018
2012-02-16,81.4949925802,90.600683088,160.74204259,212.237473343,293.699223896,304.456445589
2012-02-15,80.3815402308,90.2288702357,157.713489607,213.701315511,294.602428748,304.390084819
2012-02-14,81.8552246133,87.569369622,155.046241477,215.22616616,295.462848951,304.295095976
2012-02-13,79.1671689805,87.6068870352,151.396442442,212.467209543,296.032384671,304.241071521
2012-02-10,78.1284309891,87.450152567,153.549136943,209.872785754,296.886114401,304.375746341
2012-02-09,75.1171513364,84.930414246,154.412774873,207.212937383,297.622362599,304.500106271
2012-02-08,71.6235559994,80.7347707001,161.823745897,203.816349796,298.193075037,304.852592771
2012-02-07,66.5741341593,73.5527406967,169.100418935,200.132428547,298.882680957,305.243076299
2012-02-06,58.2892149133,69.9678790303,174.075551885,197.240165798,299.780455555,305.567104972
2012-02-03,45.369611559,62.9480692635,174.419260404,194.58960629,300.421882865,305.952038383
2012-02-02,47.8224969896,69.0463700421,176.786055163,194.467478235,301.067214906,306.567219502
2012-02-01,45.7768837483,72.743065209,174.779334488,192.993181579,301.656452793,307.244124763
2012-01-31,46.3618798152,83.7554310119,174.078625408,191.884789913,302.429700154,308.122314486
2012-01-30,45.2535737681,99.1066525315,172.853582769,190.967152869,303.019581631,308.751840403
2012-01-27,51.5746643224,107.217499766,170.214816041,190.82279281,303.256289986,309.042497321
2012-01-26,46.5489517633,114.694022442,165.565633825,190.282131994,303.458947537,309.196517665
2012-01-25,48.9631521395,121.276831357,162.906762733,188.482116117,304.043629209,309.50266822
2012-01-24,45.5991102659,123.894577379,159.402820665,185.619283855,304.611925557,309.915709515
2012-01-23,36.4269106016,125.126177853,154.417984043,182.081928142,304.945035079,310.401875871
2012-01-20,41.7464056901,122.159629076,151.198077779,180.002874422,305.434058884,310.758510147
2012-01-19,42.7140228175,119.600133779,147.041208428,179.182144244,305.748890591,310.971758486
2012-01-18,53.9897761128,115.730377412,143.971209289,178.82218172,306.010301292,311.250701057
2012-01-17,60.1727797658,112.301873466,141.145581525,177.458345095,306.638188463,311.452045013
2012-01-16,73.0200941111,109.667186268,138.920763387,177.508740303,307.626948781,311.621093091
2012-01-13,91.8172268102,107.914016587,137.298020743,178.23295043,308.275515118,311.688554383
2012-01-12,99.5228299271,104.860917104,135.047220793,179.357041889,308.992052649,311.678301713
2012-01-11,109.155671644,100.86911567,136.037436627,179.241902408,309.797629868,311.671648508
2012-01-10,109.144101708,94.5350816575,136.619405298,176.347784948,310.716821348,311.672042988
2012-01-09,111.436390929,92.3971298256,135.665199974,174.681336207,311.43655753,311.687198231
